cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
820c47fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,73.0,0.0,21.0,0.0,0.0,0.0,0.0
820d57fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
82125ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,11.0,0.0,3.0,0.0,0.0,0.0,0.0
8212c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,263.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,11.0,0.0,2.0,0.0,0.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
822607fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,19.0,0.0,19.0,0.0,0.0,0.0,0.0
822617fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,25.0,0.0,1.0,0.0,0.0,0.0,0.0
82264ffffffffff,97.0,0.0,22.0,0.0,0.0,0.0,0.0
822657fffffffff,22.0,0.0,2.0,0.0,0.0,0.0,0.0
82265ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,98.0,0.0,9.0,0.0,0.0,0.0,0.0
82266ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
