cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
834ce8fffffffff,72.0,0.0,0.0
835e4bfffffffff,6.0,0.0,0.0
835e65fffffffff,4.0,0.0,0.0
835f08fffffffff,178.0,0.0,0.0
835f09fffffffff,224.0,0.0,0.0
835f0bfffffffff,49.0,0.0,0.0
835f0dfffffffff,17.0,0.0,0.0
835f0efffffffff,6.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f12fffffffff,47.0,0.0,0.0
835f13fffffffff,43.0,0.0,0.0
835f1cfffffffff,110.0,0.0,0.0
835f1dfffffffff,13.0,0.0,0.0
835f1efffffffff,47.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,526.0,0.0,0.0
835f2bfffffffff,300.0,0.0,0.0
835f2dfffffffff,178.0,0.0,0.0
835f40fffffffff,70.0,0.0,0.0
835f41fffffffff,23.0,0.0,0.0
835f42fffffffff,18.0,0.0,0.0
835f43fffffffff,14.0,0.0,0.0
835f46fffffffff,6.0,0.0,0.0
835f48fffffffff,28.0,0.0,1.0
835f49fffffffff,22.0,0.0,0.0
835f4afffffffff,55.0,0.0,0.0
835f4bfffffffff,84.0,0.0,0.0
835f4dfffffffff,6.0,0.0,0.0
835f4efffffffff,12.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f5dfffffffff,26.0,0.0,0.0
835f66fffffffff,2.0,0.0,0.0
835f68fffffffff,49.0,0.0,0.0
835f71fffffffff,20.0,0.0,0.0
835f74fffffffff,5.0,0.0,1.0
835f75fffffffff,48.0,0.0,2.0
836600fffffffff,72.0,0.0,8.0
836601fffffffff,19.0,0.0,0.0
836602fffffffff,814.0,0.0,17.0
836603fffffffff,23.0,0.0,0.0
836604fffffffff,73.0,0.0,1.0
836605fffffffff,30.0,0.0,0.0
836606fffffffff,528.0,0.0,13.0
836608fffffffff,25.0,0.0,0.0
836609fffffffff,97.0,0.0,0.0
83660afffffffff,77.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0
83660cfffffffff,64.0,0.0,0.0
83660dfffffffff,82.0,0.0,0.0
83660efffffffff,417.0,0.0,0.0
836611fffffffff,35.0,0.0,0.0
836615fffffffff,21.0,0.0,0.0
836618fffffffff,149.0,0.0,0.0
836619fffffffff,69.0,0.0,0.0
83661bfffffffff,31.0,0.0,0.0
83661cfffffffff,33.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0
83661efffffffff,1.0,0.0,0.0
836620fffffffff,1236.0,0.0,121.0
836621fffffffff,290.0,0.0,22.0
836622fffffffff,2451.0,0.0,223.0
836623fffffffff,88.0,0.0,10.0
836625fffffffff,1131.0,0.0,91.0
836628fffffffff,58.0,0.0,0.0
836629fffffffff,95.0,0.0,0.0
83662bfffffffff,173.0,0.0,0.0
83662cfffffffff,283.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0
83662efffffffff,58.0,0.0,2.0
836631fffffffff,1361.0,0.0,41.0
836640fffffffff,3.0,0.0,0.0
836641fffffffff,581.0,0.0,0.0
836642fffffffff,1.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836644fffffffff,23.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0
83664cfffffffff,2.0,0.0,0.0
83664efffffffff,8.0,0.0,0.0
836650fffffffff,56.0,0.0,0.0
836652fffffffff,1086.0,0.0,0.0
836653fffffffff,7.0,0.0,0.0
836654fffffffff,381.0,0.0,0.0
836655fffffffff,1.0,0.0,0.0
836656fffffffff,643.0,0.0,0.0
83665afffffffff,9.0,0.0,0.0
83665efffffffff,36.0,0.0,0.0
836660fffffffff,16.0,0.0,0.0
836661fffffffff,3.0,0.0,0.0
836662fffffffff,13.0,0.0,0.0
836663fffffffff,155.0,0.0,0.0
836664fffffffff,65.0,0.0,0.0
836666fffffffff,4.0,0.0,0.0
83666cfffffffff,4.0,0.0,0.0
83666efffffffff,7.0,0.0,0.0
836670fffffffff,57.0,0.0,0.0
836671fffffffff,10.0,0.0,0.0
836672fffffffff,507.0,0.0,0.0
836673fffffffff,75.0,0.0,0.0
836674fffffffff,5.0,0.0,0.0
836675fffffffff,104.0,0.0,0.0
836676fffffffff,26.0,0.0,0.0
8366a0fffffffff,536.0,54.0,0.0
8366a1fffffffff,595.0,57.0,0.0
8366a2fffffffff,139.0,18.0,0.0
8366a3fffffffff,326.0,27.0,0.0
8366a5fffffffff,230.0,14.0,0.0
8366aefffffffff,14.0,3.0,0.0
8366b0fffffffff,38.0,0.0,0.0
8366b1fffffffff,102.0,6.0,0.0
8366b4fffffffff,6.0,0.0,0.0
8366b5fffffffff,1981.0,85.0,0.0
8366c2fffffffff,13.0,0.0,0.0
8366c4fffffffff,91.0,0.0,0.0
8366c5fffffffff,81.0,0.0,0.0
8366e0fffffffff,438.0,0.0,2.0
8366e1fffffffff,1081.0,0.0,0.0
8366e2fffffffff,9.0,0.0,0.0
8366e3fffffffff,38.0,0.0,0.0
8366e4fffffffff,114.0,0.0,0.0
8366e5fffffffff,2800.0,0.0,0.0
8366e6fffffffff,630.0,0.0,2.0
8366e8fffffffff,9.0,0.0,0.0
8366eafffffffff,8.0,0.0,0.0
8366ecfffffffff,760.0,0.0,0.0
8366eefffffffff,679.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f1fffffffff,18.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0
836740fffffffff,6.0,0.0,0.0
836741fffffffff,2498.0,0.0,31.0
836742fffffffff,296.0,0.0,0.0
836743fffffffff,882.0,0.0,14.0
836744fffffffff,820.0,0.0,0.0
836746fffffffff,3113.0,0.0,0.0
836748fffffffff,6.0,0.0,0.0
83674afffffffff,187.0,0.0,16.0
83674bfffffffff,2.0,0.0,0.0
83674cfffffffff,2326.0,0.0,44.0
83674dfffffffff,9.0,0.0,0.0
83674efffffffff,539.0,0.0,0.0
836750fffffffff,17.0,0.0,0.0
836751fffffffff,111.0,0.0,1.0
836752fffffffff,703.0,0.0,0.0
836753fffffffff,500.0,0.0,0.0
836755fffffffff,3513.0,0.0,7.0
836756fffffffff,93.0,0.0,0.0
836758fffffffff,33.0,0.0,1.0
836759fffffffff,76.0,0.0,4.0
83675afffffffff,283.0,0.0,2.0
83675bfffffffff,19.0,0.0,0.0
83675cfffffffff,486.0,0.0,0.0
83675dfffffffff,54.0,0.0,2.0
83675efffffffff,112.0,0.0,0.0
836769fffffffff,108.0,0.0,0.0
83676bfffffffff,7.0,0.0,0.0
836773fffffffff,624.0,0.0,0.0
836783fffffffff,498.0,0.0,5.0
838a00fffffffff,2.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0
838a18fffffffff,2.0,0.0,0.0
838a1afffffffff,6.0,0.0,0.0
838aa8fffffffff,1.0,0.0,0.0
838aadfffffffff,1.0,0.0,0.0
838ad1fffffffff,29.0,0.0,0.0
838ad8fffffffff,4.0,0.0,2.0
838adafffffffff,131.0,0.0,16.0
838adbfffffffff,65.0,0.0,13.0
838adcfffffffff,72.0,0.0,3.0
838adefffffffff,18.0,0.0,2.0
838ae8fffffffff,2.0,0.0,0.0
838af1fffffffff,16.0,0.0,0.0
