cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
8494187ffffffff,3.0,0.0,0.0,0.0,0.0
8494191ffffffff,2.0,0.0,0.0,0.0,0.0
84941a7ffffffff,3.0,0.0,0.0,0.0,0.0
84941b1ffffffff,13.0,0.0,0.0,0.0,0.0
84941b7ffffffff,2.0,0.0,0.0,0.0,0.0
84941bdffffffff,56.0,3.0,0.0,0.0,0.0
849443dffffffff,1.0,1.0,0.0,0.0,0.0
84944bdffffffff,1.0,0.0,0.0,0.0,0.0
8494501ffffffff,3.0,1.0,0.0,0.0,0.0
8494503ffffffff,12.0,0.0,0.0,0.0,0.0
849450bffffffff,49.0,3.0,0.0,0.0,0.0
8494511ffffffff,15.0,3.0,0.0,0.0,0.0
8494515ffffffff,21.0,3.0,0.0,0.0,0.0
8494517ffffffff,24.0,0.0,0.0,0.0,0.0
849451dffffffff,819.0,135.0,0.0,0.0,0.0
8494531ffffffff,3.0,0.0,0.0,0.0,0.0
8494533ffffffff,7.0,2.0,0.0,0.0,0.0
8494537ffffffff,4.0,0.0,0.0,0.0,0.0
8494539ffffffff,25.0,5.0,0.0,0.0,0.0
849453bffffffff,8.0,0.0,0.0,0.0,0.0
8494551ffffffff,14.0,0.0,0.0,0.0,0.0
8494559ffffffff,38.0,0.0,0.0,0.0,0.0
849458dffffffff,3.0,0.0,0.0,0.0,0.0
8494593ffffffff,9.0,0.0,0.0,0.0,0.0
84945a3ffffffff,2.0,2.0,0.0,0.0,0.0
84945a5ffffffff,113.0,24.0,0.0,0.0,0.0
84945a7ffffffff,16.0,4.0,0.0,0.0,0.0
84945adffffffff,26.0,9.0,0.0,0.0,0.0
84945bbffffffff,4.0,0.0,0.0,0.0,0.0
84945c3ffffffff,9.0,6.0,0.0,0.0,0.0
84945c5ffffffff,3.0,1.0,0.0,0.0,0.0
84945c7ffffffff,60.0,15.0,0.0,0.0,0.0
84945cbffffffff,2.0,0.0,0.0,0.0,0.0
84945d1ffffffff,2.0,0.0,0.0,0.0,0.0
84945d3ffffffff,2.0,0.0,0.0,0.0,0.0
84945d7ffffffff,2.0,2.0,0.0,0.0,0.0
84945e1ffffffff,14.0,7.0,0.0,0.0,0.0
84945e3ffffffff,40.0,0.0,0.0,0.0,0.0
84945e5ffffffff,71.0,14.0,0.0,0.0,0.0
84945e7ffffffff,6.0,2.0,0.0,0.0,0.0
84945ebffffffff,14.0,4.0,0.0,0.0,0.0
8494801ffffffff,2.0,0.0,0.0,0.0,0.0
8494803ffffffff,131.0,43.0,0.0,0.0,0.0
8494807ffffffff,2.0,0.0,0.0,0.0,0.0
849480bffffffff,177.0,126.0,0.0,0.0,0.0
8494811ffffffff,56.0,18.0,0.0,0.0,0.0
8494815ffffffff,4.0,2.0,0.0,0.0,0.0
8494819ffffffff,3.0,0.0,0.0,0.0,0.0
849481bffffffff,6.0,0.0,0.0,0.0,0.0
849481dffffffff,93.0,32.0,0.0,0.0,0.0
849483bffffffff,1.0,0.0,0.0,0.0,0.0
8494855ffffffff,6.0,0.0,0.0,0.0,0.0
849485bffffffff,6.0,2.0,0.0,0.0,0.0
8494899ffffffff,22.0,3.0,0.0,0.0,0.0
84948c7ffffffff,2.0,0.0,0.0,0.0,0.0
84948c9ffffffff,4.0,0.0,0.0,0.0,0.0
84948cbffffffff,3.0,0.0,0.0,0.0,0.0
84948cdffffffff,8.0,0.0,0.0,0.0,0.0
84948d9ffffffff,15.0,2.0,0.0,0.0,0.0
84948dbffffffff,4.0,0.0,0.0,0.0,0.0
8494925ffffffff,2.0,0.0,0.0,0.0,0.0
8494a85ffffffff,8.0,0.0,0.0,0.0,0.0
8494a93ffffffff,10.0,0.0,0.0,0.0,0.0
8494aadffffffff,3.0,2.0,0.0,0.0,0.0
8494ab3ffffffff,3.0,1.0,0.0,0.0,0.0
8494ae3ffffffff,4.0,0.0,0.0,0.0,0.0
8494ae7ffffffff,5.0,0.0,0.0,0.0,0.0
8494c49ffffffff,10.0,0.0,0.0,0.0,0.0
8494c4bffffffff,2.0,0.0,0.0,0.0,0.0
8494c4dffffffff,3.0,0.0,0.0,0.0,0.0
8494c61ffffffff,18.0,0.0,0.0,0.0,0.0
8494c91ffffffff,2.0,0.0,0.0,0.0,0.0
8494c99ffffffff,4.0,0.0,0.0,0.0,0.0
8494cc9ffffffff,3.0,0.0,0.0,0.0,0.0
8494d45ffffffff,2.0,0.0,0.0,0.0,0.0
8494d5dffffffff,4.0,0.0,0.0,0.0,0.0
8494e21ffffffff,13.0,0.0,0.0,0.0,0.0
8494e23ffffffff,26.0,0.0,0.0,0.0,0.0
