cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
8479189ffffffff,1.0,1.0,0.0
848930dffffffff,2.0,0.0,0.0
8489b41ffffffff,1.0,0.0,0.0
849a049ffffffff,1.0,0.0,0.0
849a289ffffffff,1.0,0.0,0.0
849b0abffffffff,1.0,0.0,0.0
849b0c7ffffffff,1.0,0.0,0.0
849b185ffffffff,1.0,0.0,0.0
849b287ffffffff,1.0,0.0,0.0
849b41dffffffff,2.0,1.0,0.0
849b437ffffffff,1.0,0.0,0.0
849b457ffffffff,3.0,1.0,0.0
849b5ddffffffff,1.0,0.0,0.0
849b6e7ffffffff,1.0,1.0,0.0
849b8e5ffffffff,1.0,0.0,0.0
849e059ffffffff,1.0,0.0,1.0
849e065ffffffff,1.0,0.0,1.0
849e107ffffffff,1.0,0.0,1.0
849e153ffffffff,1.0,0.0,0.0
849e15bffffffff,1.0,0.0,1.0
849e1c9ffffffff,1.0,0.0,1.0
849e245ffffffff,1.0,0.0,0.0
849e8cbffffffff,1.0,0.0,0.0
849e8ddffffffff,1.0,0.0,0.0
849ed49ffffffff,1.0,0.0,0.0
849f18bffffffff,1.0,0.0,0.0
84a06b9ffffffff,1.0,0.0,0.0
84a0d91ffffffff,1.0,0.0,0.0
84a0edbffffffff,1.0,0.0,0.0
84b4c5bffffffff,1.0,1.0,0.0
84b4ccbffffffff,1.0,0.0,0.0
84b4d31ffffffff,1.0,0.0,0.0
84baf6bffffffff,8.0,0.0,0.0
84bb595ffffffff,1.0,0.0,0.0
84bb59dffffffff,1.0,0.0,0.0
84bb5bbffffffff,1.0,1.0,0.0
84beae3ffffffff,6.0,2.0,4.0
84bfb05ffffffff,2.0,0.0,0.0
