cell_id,Hypsipetes everetti,Hypsipetes everetti everetti,Hypsipetes everetti haynaldi
8468193ffffffff,6.0,0.0,0.0
8468417ffffffff,2.0,1.0,0.0
846841bffffffff,2.0,0.0,0.0
8468423ffffffff,2.0,0.0,0.0
846842bffffffff,2.0,0.0,0.0
8468435ffffffff,2.0,0.0,0.0
8468447ffffffff,1.0,0.0,0.0
84684e5ffffffff,354.0,56.0,0.0
8468583ffffffff,3.0,0.0,0.0
846858bffffffff,10.0,1.0,0.0
84685d3ffffffff,1.0,0.0,0.0
84685d7ffffffff,9.0,3.0,0.0
84685d9ffffffff,2.0,0.0,0.0
84685dbffffffff,6.0,3.0,0.0
84685ddffffffff,1.0,0.0,0.0
84685e7ffffffff,1.0,0.0,0.0
84686e9ffffffff,50.0,11.0,0.0
8468e45ffffffff,1.0,0.0,0.0
