cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,14.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0
8266a7fffffffff,31.0,0.0,0.0
8266b7fffffffff,26.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0
8266e7fffffffff,8.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0
82679ffffffffff,3.0,1.0,0.0
826d6ffffffffff,57.0,0.0,0.0
828b67fffffffff,1.0,0.0,0.0
828f0ffffffffff,5.0,0.0,0.0
828f2ffffffffff,30.0,0.0,0.0
82a85ffffffffff,4.0,0.0,0.0
