cell_id,Dicrurus sharpei,Dicrurus sharpei occidentalis,Dicrurus sharpei sharpei
8454409ffffffff,2.0,2.0,0.0
8454527ffffffff,1.0,1.0,0.0
8454ccbffffffff,1.0,1.0,0.0
8454e05ffffffff,2.0,2.0,0.0
8454e07ffffffff,1.0,1.0,0.0
8454e13ffffffff,6.0,6.0,0.0
8454e21ffffffff,4.0,4.0,0.0
8454e25ffffffff,6.0,6.0,0.0
8454e29ffffffff,1.0,1.0,0.0
8454e31ffffffff,3.0,3.0,0.0
8454e8bffffffff,7.0,7.0,0.0
8454ea1ffffffff,1.0,0.0,0.0
8454ea9ffffffff,1.0,1.0,0.0
8454ec5ffffffff,2.0,2.0,0.0
8454ecdffffffff,1.0,1.0,0.0
8454ee3ffffffff,2.0,2.0,0.0
8454f0dffffffff,1.0,1.0,0.0
8454f11ffffffff,2.0,2.0,0.0
8454f19ffffffff,2.0,2.0,0.0
8454f1bffffffff,24.0,24.0,0.0
8454f41ffffffff,1.0,1.0,0.0
8454f47ffffffff,21.0,21.0,0.0
8454f57ffffffff,5.0,5.0,0.0
8458839ffffffff,5.0,1.0,4.0
8458901ffffffff,2.0,2.0,0.0
845891dffffffff,1.0,0.0,0.0
845894dffffffff,4.0,4.0,0.0
8458a65ffffffff,4.0,4.0,0.0
8458a69ffffffff,1.0,0.0,0.0
8458a6dffffffff,1.0,1.0,0.0
8458b57ffffffff,2.0,2.0,0.0
8458c85ffffffff,1.0,0.0,1.0
8458c8bffffffff,8.0,0.0,8.0
8458cd9ffffffff,3.0,0.0,3.0
8458d1dffffffff,3.0,0.0,3.0
8458d21ffffffff,1.0,0.0,1.0
8458d35ffffffff,1.0,0.0,1.0
8458e67ffffffff,6.0,0.0,6.0
8458f1dffffffff,2.0,0.0,2.0
8458f47ffffffff,1.0,1.0,0.0
846ac5bffffffff,4.0,0.0,4.0
8475069ffffffff,1.0,1.0,0.0
8475085ffffffff,4.0,4.0,0.0
84750d1ffffffff,1.0,1.0,0.0
8475131ffffffff,1.0,1.0,0.0
8475201ffffffff,61.0,61.0,0.0
8475205ffffffff,5.0,5.0,0.0
8475207ffffffff,10.0,10.0,0.0
847520bffffffff,2.0,2.0,0.0
8475293ffffffff,4.0,4.0,0.0
8475295ffffffff,2.0,2.0,0.0
847529bffffffff,5.0,5.0,0.0
84752dbffffffff,4.0,4.0,0.0
84752e9ffffffff,1.0,1.0,0.0
8475a07ffffffff,3.0,3.0,0.0
8475a67ffffffff,1.0,1.0,0.0
8475ab9ffffffff,1.0,1.0,0.0
8475b07ffffffff,1.0,1.0,0.0
847a4cbffffffff,203.0,0.0,195.0
847a4ddffffffff,255.0,0.0,251.0
84828d1ffffffff,4.0,0.0,4.0
8482a09ffffffff,3.0,0.0,3.0
8482a81ffffffff,4.0,0.0,4.0
8482aadffffffff,2.0,0.0,2.0
8482d3dffffffff,1.0,0.0,1.0
8483125ffffffff,7.0,0.0,7.0
848335bffffffff,2.0,0.0,2.0
84838edffffffff,1.0,0.0,1.0
8483a89ffffffff,3.0,0.0,3.0
