cell_id,Eumyias indigo,Eumyias indigo ruficrissa/cerviniventris,Eumyias indigo indigo
8465093ffffffff,1.0,0.0,0.0
84650d1ffffffff,6.0,0.0,0.0
84652d9ffffffff,8.0,0.0,0.0
8465545ffffffff,36.0,0.0,0.0
846556bffffffff,49.0,0.0,0.0
8468111ffffffff,4.0,0.0,0.0
8468115ffffffff,2.0,2.0,0.0
8468119ffffffff,1266.0,188.0,0.0
846811bffffffff,21.0,2.0,0.0
846811dffffffff,1.0,0.0,0.0
8468985ffffffff,5.0,2.0,0.0
8468a47ffffffff,1.0,1.0,0.0
8468ac9ffffffff,10.0,0.0,0.0
848c101ffffffff,174.0,0.0,30.0
848c103ffffffff,26.0,0.0,13.0
848c107ffffffff,2.0,0.0,0.0
848c109ffffffff,2.0,0.0,2.0
848c141ffffffff,1.0,0.0,0.0
848c147ffffffff,10.0,0.0,2.0
848c16bffffffff,1.0,0.0,0.0
848c1a7ffffffff,5.0,0.0,0.0
848cd0bffffffff,46.0,3.0,0.0
848cd33ffffffff,2.0,0.0,0.0
848cd55ffffffff,4.0,0.0,0.0
848d81bffffffff,1.0,0.0,0.0
848d84bffffffff,5.0,0.0,0.0
848d855ffffffff,14.0,0.0,3.0
848d85dffffffff,2.0,0.0,0.0
848d893ffffffff,1.0,0.0,1.0
848d8c1ffffffff,17.0,0.0,5.0
848da25ffffffff,112.0,0.0,44.0
848da2dffffffff,1.0,0.0,0.0
848da37ffffffff,2.0,0.0,2.0
