cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
824507fffffffff,465.0,2.0,0.0
82450ffffffffff,2317.0,300.0,0.0
82451ffffffffff,6.0,4.0,0.0
824527fffffffff,3591.0,0.0,0.0
82452ffffffffff,11730.0,156.0,0.0
824537fffffffff,799.0,0.0,0.0
824577fffffffff,118.0,26.0,0.0
824807fffffffff,20.0,0.0,0.0
82480ffffffffff,85.0,0.0,0.0
824817fffffffff,18.0,0.0,0.0
824837fffffffff,2073.0,31.0,0.0
824987fffffffff,71.0,5.0,0.0
82498ffffffffff,4.0,0.0,0.0
824997fffffffff,37.0,11.0,0.0
8249a7fffffffff,18.0,0.0,0.0
8249affffffffff,892.0,42.0,0.0
8249b7fffffffff,176.0,0.0,0.0
825f07fffffffff,70.0,0.0,0.0
825f0ffffffffff,4.0,0.0,0.0
825f17fffffffff,43.0,0.0,0.0
825f1ffffffffff,18.0,0.0,0.0
825f2ffffffffff,342.0,0.0,0.0
825f47fffffffff,14.0,0.0,0.0
825f4ffffffffff,2.0,0.0,0.0
825f57fffffffff,10.0,0.0,0.0
825f5ffffffffff,232.0,0.0,0.0
825f6ffffffffff,17.0,0.0,0.0
825f77fffffffff,77.0,0.0,2.0
826607fffffffff,41.0,0.0,0.0
82660ffffffffff,965.0,16.0,0.0
826617fffffffff,2114.0,210.0,0.0
82661ffffffffff,1258.0,5.0,0.0
826627fffffffff,741.0,0.0,0.0
82662ffffffffff,33.0,0.0,0.0
826637fffffffff,5.0,0.0,0.0
826647fffffffff,112.0,0.0,0.0
82664ffffffffff,8.0,0.0,0.0
826657fffffffff,55.0,0.0,0.0
82665ffffffffff,276.0,0.0,0.0
826667fffffffff,27.0,0.0,0.0
82666ffffffffff,28.0,0.0,0.0
826677fffffffff,18.0,0.0,0.0
826687fffffffff,1.0,0.0,0.0
8266a7fffffffff,4435.0,479.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,9034.0,35.0,0.0
8266c7fffffffff,579.0,0.0,0.0
8266cffffffffff,42.0,0.0,0.0
8266d7fffffffff,768.0,39.0,0.0
8266dffffffffff,1042.0,0.0,126.0
8266e7fffffffff,1039.0,0.0,0.0
8266effffffffff,137.0,0.0,0.0
8266f7fffffffff,2399.0,30.0,0.0
826747fffffffff,13.0,0.0,0.0
82674ffffffffff,20.0,0.0,0.0
826757fffffffff,10.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0
826797fffffffff,164.0,0.0,0.0
82679ffffffffff,2691.0,11.0,0.0
826d07fffffffff,119.0,42.0,0.0
826d17fffffffff,304.0,57.0,0.0
826d27fffffffff,452.0,106.0,0.0
826d2ffffffffff,827.0,184.0,0.0
826d37fffffffff,416.0,94.0,0.0
826d67fffffffff,783.0,0.0,0.0
826d6ffffffffff,14888.0,0.0,0.0
826d77fffffffff,59.0,0.0,0.0
828007fffffffff,7.0,0.0,0.0
82800ffffffffff,4.0,0.0,0.0
828017fffffffff,1.0,0.0,1.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,234.0,0.0,1.0
82804ffffffffff,26.0,0.0,0.0
828057fffffffff,7.0,0.0,0.0
828067fffffffff,71.0,0.0,0.0
82806ffffffffff,12.0,0.0,0.0
828077fffffffff,18.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0
828137fffffffff,45.0,0.0,2.0
828147fffffffff,54.0,0.0,0.0
82814ffffffffff,276.0,0.0,3.0
82815ffffffffff,89.0,0.0,1.0
828167fffffffff,34.0,0.0,0.0
828187fffffffff,211.0,0.0,49.0
828a07fffffffff,92.0,0.0,5.0
828a17fffffffff,33.0,0.0,1.0
828a1ffffffffff,11.0,0.0,2.0
828a27fffffffff,13.0,0.0,4.0
828a37fffffffff,7.0,0.0,0.0
828a47fffffffff,227.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a5ffffffffff,1.0,0.0,1.0
828a6ffffffffff,655.0,0.0,0.0
828a77fffffffff,13.0,0.0,0.0
828a87fffffffff,98.0,0.0,1.0
828a8ffffffffff,3.0,0.0,1.0
828a97fffffffff,21.0,0.0,0.0
828a9ffffffffff,44.0,0.0,1.0
828aaffffffffff,41.0,0.0,4.0
828ab7fffffffff,4.0,0.0,0.0
828adffffffffff,59.0,0.0,5.0
828af7fffffffff,778.0,0.0,56.0
828b0ffffffffff,14.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,10.0,0.0,0.0
828b2ffffffffff,12.0,0.0,0.0
828b47fffffffff,726.0,0.0,2.0
828b4ffffffffff,9.0,0.0,1.0
828b57fffffffff,33.0,0.0,1.0
828b5ffffffffff,56.0,0.0,6.0
828b67fffffffff,189.0,0.0,4.0
828b6ffffffffff,154.0,0.0,0.0
828b77fffffffff,81.0,0.0,0.0
828b87fffffffff,7.0,0.0,1.0
828b8ffffffffff,16.0,0.0,0.0
828b9ffffffffff,335.0,0.0,4.0
828bb7fffffffff,1.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0
828f27fffffffff,9.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,148.0,0.0,0.0
828f4ffffffffff,88.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
828f67fffffffff,125.0,0.0,0.0
828f6ffffffffff,13.0,0.0,0.0
828f77fffffffff,47.0,0.0,1.0
82a597fffffffff,75.0,0.0,8.0
82a897fffffffff,76.0,0.0,18.0
82b327fffffffff,2.0,0.0,0.0
