cell_id,Suthora nipalensis,Suthora nipalensis nipalensis/garhwalensis,Suthora nipalensis humii/crocotia,Suthora nipalensis poliotis/feae,Suthora nipalensis ripponi/patriciae,Suthora nipalensis beaulieu/kamoli
833c02fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,235.0,0.0,1.0,0.0,0.0,0.0
833c0bfffffffff,20.0,0.0,0.0,0.0,0.0,0.0
833c19fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
833c1dfffffffff,293.0,0.0,16.0,0.0,0.0,0.0
833c31fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833c43fffffffff,4.0,0.0,0.0,3.0,0.0,0.0
833c52fffffffff,179.0,0.0,0.0,0.0,0.0,0.0
833c53fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
833c56fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833c58fffffffff,265.0,0.0,0.0,0.0,0.0,0.0
833c5cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833c5dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833cd8fffffffff,22.0,0.0,0.0,0.0,12.0,0.0
833cddfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833ce4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
833ce5fffffffff,69.0,0.0,0.0,0.0,0.0,0.0
833ce8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
833ceafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833cebfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834044fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83404cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83404dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83404efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834059fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83406bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836482fffffffff,63.0,0.0,0.0,29.0,0.0,0.0
836934fffffffff,2.0,0.0,0.0,0.0,0.0,1.0
