cell_id,Arizelocichla striifacies,Arizelocichla striifacies striifacies,Arizelocichla striifacies olivaceiceps
827a67fffffffff,128.0,48.0,0.0
827b4ffffffffff,226.0,97.0,0.0
829697fffffffff,190.0,67.0,0.0
8296a7fffffffff,3.0,2.0,0.0
8296b7fffffffff,44.0,6.0,0.0
82978ffffffffff,38.0,0.0,5.0
8297affffffffff,40.0,0.0,24.0
