cell_id,Chrysophlegma mentale,Chrysophlegma mentale humii,Chrysophlegma mentale mentale
826437fffffffff,1.0,1.0,0.0
826507fffffffff,219.0,2.0,0.0
82651ffffffffff,92.0,26.0,0.0
826527fffffffff,352.0,3.0,0.0
826807fffffffff,5.0,0.0,0.0
826817fffffffff,362.0,26.0,0.0
82681ffffffffff,48.0,3.0,0.0
826887fffffffff,1.0,0.0,0.0
82689ffffffffff,1.0,0.0,0.0
8268a7fffffffff,3.0,0.0,0.0
8268affffffffff,2.0,0.0,0.0
828c17fffffffff,46.0,0.0,2.0
828c1ffffffffff,4.0,0.0,0.0
828c97fffffffff,15.0,0.0,0.0
828caffffffffff,35.0,0.0,0.0
828cd7fffffffff,3.0,0.0,0.0
828d87fffffffff,4.0,0.0,0.0
828da7fffffffff,47.0,0.0,3.0
