cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
8312dcfffffffff,4.0,0.0,0.0
831aa0fffffffff,11.0,0.0,0.0
831aa2fffffffff,1.0,0.0,0.0
831aa3fffffffff,9.0,0.0,0.0
832601fffffffff,18.0,0.0,0.0
832608fffffffff,10.0,0.0,0.0
83260afffffffff,6.0,0.0,0.0
83260bfffffffff,4.0,0.0,0.0
83260dfffffffff,3.0,0.0,0.0
83260efffffffff,5.0,0.0,0.0
832621fffffffff,2.0,0.0,0.0
83262bfffffffff,17.0,0.0,0.0
83262cfffffffff,8.0,0.0,0.0
83262dfffffffff,11.0,0.0,0.0
83262efffffffff,2.0,0.0,0.0
832636fffffffff,7.0,0.0,0.0
832640fffffffff,9.0,0.0,0.0
832641fffffffff,16.0,0.0,0.0
832642fffffffff,4.0,0.0,0.0
832643fffffffff,27.0,0.0,0.0
832646fffffffff,15.0,0.0,0.0
832648fffffffff,33.0,8.0,0.0
832649fffffffff,8.0,1.0,0.0
83264afffffffff,13.0,0.0,0.0
83264bfffffffff,19.0,0.0,0.0
83264cfffffffff,17.0,1.0,0.0
83264dfffffffff,48.0,10.0,0.0
83264efffffffff,42.0,0.0,0.0
832650fffffffff,1.0,0.0,0.0
832651fffffffff,7.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,20.0,0.0,0.0
832655fffffffff,2.0,0.0,0.0
832656fffffffff,3.0,0.0,0.0
832658fffffffff,39.0,0.0,0.0
832659fffffffff,24.0,3.0,0.0
83265afffffffff,4.0,0.0,0.0
83265bfffffffff,12.0,0.0,0.0
83265cfffffffff,7.0,0.0,0.0
83265dfffffffff,5.0,0.0,0.0
83265efffffffff,14.0,0.0,0.0
832661fffffffff,7.0,0.0,0.0
832662fffffffff,6.0,0.0,0.0
832663fffffffff,1.0,0.0,0.0
832664fffffffff,40.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,29.0,0.0,0.0
832668fffffffff,5.0,0.0,0.0
83266bfffffffff,7.0,0.0,0.0
83266cfffffffff,6.0,0.0,0.0
83266dfffffffff,15.0,0.0,0.0
83266efffffffff,3.0,0.0,0.0
832670fffffffff,2.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0
832674fffffffff,17.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
832681fffffffff,72.0,0.0,0.0
832688fffffffff,86.0,0.0,0.0
832689fffffffff,2.0,0.0,0.0
83268bfffffffff,1.0,0.0,0.0
83268cfffffffff,42.0,2.0,0.0
83268dfffffffff,17.0,0.0,0.0
8326a8fffffffff,3.0,0.0,0.0
8326a9fffffffff,9.0,0.0,0.0
8326aafffffffff,25.0,0.0,0.0
8326abfffffffff,7.0,0.0,0.0
8326c1fffffffff,2.0,0.0,0.0
8326c4fffffffff,4.0,0.0,0.0
8326c5fffffffff,1.0,0.0,0.0
8326c8fffffffff,13.0,0.0,0.0
8326cbfffffffff,22.0,0.0,0.0
8326ccfffffffff,2.0,0.0,0.0
8326d1fffffffff,8.0,0.0,0.0
8326d2fffffffff,3.0,0.0,0.0
8326d3fffffffff,3.0,0.0,0.0
8326d4fffffffff,1.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0
8326dbfffffffff,3.0,0.0,0.0
8326dcfffffffff,3.0,0.0,0.0
8326defffffffff,7.0,0.0,0.0
8326e2fffffffff,4.0,0.0,0.0
8326e3fffffffff,5.0,0.0,0.0
8326e4fffffffff,3.0,0.0,0.0
8326e5fffffffff,4.0,0.0,0.0
8326e6fffffffff,2.0,0.0,0.0
8326e8fffffffff,1.0,0.0,0.0
8326e9fffffffff,2.0,0.0,0.0
8326edfffffffff,15.0,0.0,0.0
8326f1fffffffff,2.0,0.0,0.0
8326f2fffffffff,75.0,0.0,0.0
8326f6fffffffff,2.0,0.0,0.0
832743fffffffff,6.0,0.0,0.0
832748fffffffff,138.0,0.0,0.0
832749fffffffff,261.0,0.0,0.0
83274afffffffff,14.0,0.0,0.0
83274bfffffffff,86.0,2.0,0.0
83274cfffffffff,1.0,0.0,0.0
83274dfffffffff,82.0,0.0,0.0
83274efffffffff,22.0,0.0,0.0
832751fffffffff,7.0,0.0,0.0
832758fffffffff,115.0,2.0,0.0
832759fffffffff,45.0,0.0,0.0
83275afffffffff,13.0,0.0,0.0
83275bfffffffff,8.0,0.0,0.0
83275cfffffffff,8.0,0.0,0.0
83275dfffffffff,38.0,0.0,0.0
83275efffffffff,3.0,0.0,0.0
832761fffffffff,2.0,0.0,0.0
832763fffffffff,10.0,3.0,0.0
83276bfffffffff,5.0,0.0,0.0
83276dfffffffff,14.0,0.0,0.0
832772fffffffff,29.0,1.0,0.0
832786fffffffff,3.0,0.0,0.0
8327a9fffffffff,6.0,0.0,0.0
8327aafffffffff,1.0,0.0,0.0
832802fffffffff,5.0,0.0,0.0
832806fffffffff,9.0,0.0,0.0
83281bfffffffff,12.0,0.0,0.0
832830fffffffff,5.0,0.0,0.0
832831fffffffff,2.0,0.0,0.0
