cell_id,Celeus torquatus,Celeus torquatus torquatus,Celeus torquatus occidentalis,Celeus torquatus tinnunculus
825f07fffffffff,42.0,5.0,0.0,0.0
825f0ffffffffff,12.0,0.0,0.0,0.0
825f17fffffffff,19.0,0.0,0.0,0.0
825f1ffffffffff,3.0,0.0,0.0,0.0
825f2ffffffffff,228.0,0.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0,0.0
825f4ffffffffff,14.0,0.0,0.0,0.0
825f77fffffffff,3.0,0.0,0.0,0.0
826647fffffffff,182.0,0.0,0.0,0.0
82665ffffffffff,8.0,0.0,0.0,0.0
826667fffffffff,6.0,0.0,0.0,0.0
82666ffffffffff,13.0,1.0,0.0,0.0
8266c7fffffffff,38.0,0.0,0.0,0.0
8266cffffffffff,26.0,0.0,2.0,0.0
8266dffffffffff,221.0,0.0,16.0,0.0
8266effffffffff,124.0,0.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0,0.0
82806ffffffffff,4.0,0.0,0.0,0.0
828117fffffffff,4.0,0.0,0.0,0.0
828137fffffffff,18.0,0.0,0.0,3.0
828147fffffffff,10.0,0.0,7.0,0.0
82814ffffffffff,26.0,1.0,0.0,0.0
82815ffffffffff,17.0,0.0,0.0,0.0
828167fffffffff,19.0,0.0,12.0,0.0
828a07fffffffff,16.0,0.0,4.0,0.0
828a17fffffffff,19.0,0.0,0.0,0.0
828a1ffffffffff,15.0,0.0,2.0,0.0
828a27fffffffff,2.0,0.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0,0.0
828a37fffffffff,11.0,0.0,0.0,0.0
828a47fffffffff,20.0,0.0,0.0,0.0
828a57fffffffff,14.0,0.0,0.0,0.0
828a6ffffffffff,122.0,0.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0,0.0
828a87fffffffff,10.0,0.0,0.0,0.0
828a9ffffffffff,4.0,0.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0,0.0
828aaffffffffff,9.0,0.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0,0.0
828adffffffffff,16.0,3.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0,0.0
828aeffffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,299.0,9.0,9.0,0.0
828b0ffffffffff,7.0,0.0,0.0,0.0
828b17fffffffff,3.0,0.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0,0.0
828b2ffffffffff,6.0,0.0,0.0,0.0
828b47fffffffff,181.0,0.0,0.0,0.0
828b4ffffffffff,2.0,0.0,1.0,0.0
828b57fffffffff,11.0,0.0,0.0,0.0
828b5ffffffffff,3.0,0.0,1.0,0.0
828b67fffffffff,13.0,0.0,0.0,0.0
828b6ffffffffff,18.0,0.0,0.0,0.0
828b77fffffffff,17.0,0.0,0.0,0.0
828b87fffffffff,34.0,0.0,0.0,0.0
828b9ffffffffff,330.0,0.0,23.0,0.0
828ba7fffffffff,10.0,0.0,0.0,0.0
828bb7fffffffff,7.0,0.0,0.0,0.0
828f4ffffffffff,32.0,0.0,0.0,0.0
828f67fffffffff,83.0,0.0,0.0,0.0
828f6ffffffffff,20.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
82a597fffffffff,82.0,0.0,0.0,28.0
82a8cffffffffff,4.0,0.0,3.0,0.0
