cell_id,Leptopterus chabert,Leptopterus chabert chabert,Leptopterus chabert schistocercus
83a231fffffffff,15.0,14.0,0.0
83a38dfffffffff,2.0,2.0,0.0
83a399fffffffff,25.0,0.0,25.0
