cell_id,Muscisaxicola maclovianus,Muscisaxicola maclovianus mentalis,Muscisaxicola maclovianus maclovianus
828e47fffffffff,8.0,0.0,0.0
828e67fffffffff,41.0,0.0,0.0
828e6ffffffffff,28.0,0.0,0.0
828e77fffffffff,9.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
82b207fffffffff,247.0,0.0,0.0
82b21ffffffffff,318.0,0.0,0.0
82b227fffffffff,342.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0
82b25ffffffffff,19.0,0.0,0.0
82b2c7fffffffff,2194.0,94.0,0.0
82b2cffffffffff,96.0,0.0,0.0
82b2dffffffffff,195.0,0.0,0.0
82b2e7fffffffff,429.0,0.0,0.0
82b2effffffffff,30.0,0.0,0.0
82b307fffffffff,592.0,0.0,0.0
82b30ffffffffff,42.0,0.0,0.0
82b31ffffffffff,35.0,0.0,0.0
82b337fffffffff,53.0,0.0,0.0
82c207fffffffff,7.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0
82c227fffffffff,22.0,0.0,0.0
82c22ffffffffff,11.0,0.0,0.0
82c2c7fffffffff,2.0,0.0,0.0
82c2e7fffffffff,293.0,0.0,0.0
82c2f7fffffffff,75.0,0.0,0.0
82c307fffffffff,2.0,0.0,0.0
82c327fffffffff,40.0,0.0,0.0
82c32ffffffffff,127.0,0.0,0.0
82c347fffffffff,4.0,0.0,0.0
82c357fffffffff,10.0,0.0,0.0
82c367fffffffff,11.0,0.0,0.0
82c377fffffffff,4.0,0.0,0.0
82ce17fffffffff,3.0,0.0,0.0
82ce87fffffffff,486.0,7.0,0.0
82ce8ffffffffff,205.0,0.0,0.0
82ce97fffffffff,56.0,0.0,0.0
82ce9ffffffffff,229.0,0.0,0.0
82cea7fffffffff,201.0,0.0,0.0
82ceaffffffffff,396.0,0.0,0.0
82cf17fffffffff,293.0,4.0,0.0
82cf37fffffffff,5.0,0.0,0.0
82cf87fffffffff,4.0,0.0,0.0
82cf8ffffffffff,104.0,0.0,0.0
82cf97fffffffff,79.0,0.0,0.0
82cf9ffffffffff,31.0,0.0,0.0
82cfa7fffffffff,385.0,0.0,0.0
82cfaffffffffff,138.0,0.0,0.0
82cfb7fffffffff,19.0,0.0,0.0
82de67fffffffff,260.0,0.0,42.0
82de77fffffffff,453.0,0.0,29.0
82df47fffffffff,610.0,30.0,0.0
82df4ffffffffff,7.0,0.0,0.0
82df5ffffffffff,7.0,0.0,0.0
82df6ffffffffff,215.0,6.0,0.0
