cell_id,Oriolus traillii,Oriolus traillii traillii/robinsoni,Oriolus traillii ardens/nigellicauda
823c0ffffffffff,11.0,0.0,0.0
823c1ffffffffff,22.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,1.0,1.0,0.0
823cdffffffffff,5.0,0.0,0.0
823ce7fffffffff,8.0,0.0,0.0
823ceffffffffff,3.0,0.0,0.0
823d17fffffffff,5.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
82404ffffffffff,6.0,6.0,0.0
824107fffffffff,2.0,0.0,0.0
82415ffffffffff,2.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0
824b87fffffffff,7.0,0.0,0.0
824ba7fffffffff,52.0,0.0,0.0
824bb7fffffffff,20.0,0.0,0.0
