cell_id,Cyornis rufigastra,Cyornis rufigastra [rufigastra Group],Cyornis rufigastra [blythi Group]
826437fffffffff,4.0,0.0,0.0
826507fffffffff,107.0,0.0,0.0
82651ffffffffff,87.0,0.0,0.0
826527fffffffff,3.0,0.0,0.0
826557fffffffff,1.0,0.0,0.0
826807fffffffff,2.0,0.0,0.0
826817fffffffff,77.0,4.0,0.0
82681ffffffffff,27.0,2.0,0.0
82682ffffffffff,35.0,0.0,4.0
826847fffffffff,89.0,0.0,18.0
826857fffffffff,5.0,0.0,5.0
82685ffffffffff,3.0,0.0,0.0
826867fffffffff,10.0,0.0,1.0
826877fffffffff,22.0,0.0,6.0
8268e7fffffffff,9.0,0.0,0.0
8268f7fffffffff,3.0,0.0,0.0
826947fffffffff,84.0,0.0,2.0
82694ffffffffff,184.0,0.0,20.0
82695ffffffffff,32.0,0.0,6.0
82696ffffffffff,7.0,0.0,2.0
82699ffffffffff,1.0,0.0,0.0
828c17fffffffff,2.0,0.0,0.0
828c8ffffffffff,1.0,0.0,0.0
828c97fffffffff,25.0,0.0,0.0
828caffffffffff,3.0,0.0,0.0
828da7fffffffff,3.0,0.0,0.0
