cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
839d2cfffffffff,1.0,0.0,0.0
83be08fffffffff,4.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0
83be0dfffffffff,15.0,2.0,0.0
83be1dfffffffff,2.0,1.0,0.0
83be40fffffffff,1.0,0.0,0.0
83be44fffffffff,2.0,2.0,0.0
83be45fffffffff,1.0,0.0,0.0
83be46fffffffff,3.0,0.0,0.0
83be62fffffffff,2.0,0.0,0.0
83be63fffffffff,1.0,0.0,0.0
83be6afffffffff,4.0,0.0,0.0
83be72fffffffff,28.0,0.0,0.0
83be88fffffffff,4.0,0.0,0.0
83be8dfffffffff,2.0,0.0,0.0
83bee2fffffffff,1.0,0.0,0.0
83bef2fffffffff,1.0,0.0,0.0
83bef6fffffffff,9.0,0.0,0.0
