cell_id,Chroicocephalus maculipennis,Chroicocephalus maculipennis (White-winged),Chroicocephalus maculipennis (Dark-winged)
848e45dffffffff,2.0,0.0,0.0
848e62dffffffff,1.0,0.0,0.0
84a8143ffffffff,3.0,0.0,0.0
84a8317ffffffff,2.0,0.0,0.0
84a901dffffffff,2.0,0.0,0.0
84a9051ffffffff,2.0,0.0,0.0
84a9181ffffffff,3.0,0.0,0.0
84a91b7ffffffff,2.0,0.0,0.0
84a92c5ffffffff,1.0,0.0,0.0
84a92e1ffffffff,1.0,0.0,1.0
84a9447ffffffff,2.0,0.0,0.0
84a9617ffffffff,4.0,0.0,0.0
84a9657ffffffff,3.0,0.0,0.0
84a9661ffffffff,2.0,0.0,0.0
84b2191ffffffff,3.0,0.0,0.0
84b2261ffffffff,6.0,0.0,0.0
84b2413ffffffff,4.0,0.0,0.0
84b245dffffffff,2.0,0.0,0.0
84b2499ffffffff,11.0,0.0,0.0
84b249bffffffff,5.0,0.0,0.0
84b24b3ffffffff,6.0,0.0,0.0
84b24d1ffffffff,4.0,0.0,0.0
84b24d3ffffffff,61.0,0.0,0.0
84b24d7ffffffff,4.0,0.0,0.0
84b24d9ffffffff,1.0,0.0,0.0
84b24dbffffffff,33.0,0.0,0.0
84b2681ffffffff,1.0,0.0,0.0
84b268bffffffff,7.0,0.0,0.0
84b26a5ffffffff,1.0,0.0,0.0
84b26e7ffffffff,2.0,0.0,0.0
84b2c01ffffffff,1.0,0.0,0.0
84b2c05ffffffff,13.0,0.0,0.0
84b2c0bffffffff,4.0,0.0,0.0
84b2c0dffffffff,82.0,2.0,0.0
84b2c2bffffffff,9.0,0.0,0.0
84b2c35ffffffff,12.0,0.0,0.0
84b2c3dffffffff,5.0,0.0,0.0
84b2c41ffffffff,4.0,0.0,0.0
84b2c47ffffffff,2.0,2.0,0.0
84b2c49ffffffff,3.0,3.0,0.0
84b2c55ffffffff,3.0,0.0,0.0
84b2c5dffffffff,44.0,0.0,0.0
84b2cddffffffff,3.0,0.0,0.0
84b2d81ffffffff,8.0,0.0,0.0
84b2d87ffffffff,4.0,0.0,0.0
84b2da3ffffffff,2.0,0.0,0.0
84b2dabffffffff,6.0,0.0,0.0
84b2dc3ffffffff,27.0,0.0,0.0
84b2dcbffffffff,13.0,0.0,0.0
84b2e2dffffffff,4.0,0.0,0.0
84b2ec7ffffffff,58.0,0.0,0.0
84b3047ffffffff,20.0,0.0,0.0
84b34c3ffffffff,2.0,0.0,0.0
84c2033ffffffff,6.0,0.0,0.0
84c2053ffffffff,1.0,0.0,0.0
84c21b3ffffffff,8.0,0.0,0.0
84c21bbffffffff,3.0,1.0,0.0
84c2c91ffffffff,2.0,0.0,0.0
84c2c95ffffffff,2.0,0.0,0.0
84c2c99ffffffff,16.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0
84c2cd3ffffffff,48.0,0.0,0.0
84c2d05ffffffff,1.0,0.0,0.0
84c2d09ffffffff,2.0,0.0,0.0
84c2e31ffffffff,13.0,0.0,0.0
84c2e3dffffffff,2.0,0.0,0.0
84c2e63ffffffff,2.0,0.0,0.0
84c2e99ffffffff,74.0,0.0,0.0
84c2e9bffffffff,3.0,0.0,0.0
84c2eb9ffffffff,3.0,0.0,0.0
84c2ebbffffffff,12.0,0.0,0.0
84c2f15ffffffff,2.0,0.0,0.0
84c2f1dffffffff,6.0,0.0,0.0
84c2f27ffffffff,7.0,0.0,0.0
84c3487ffffffff,12.0,0.0,0.0
84c34b7ffffffff,4.0,0.0,0.0
84c34bdffffffff,49.0,0.0,0.0
84ce881ffffffff,9.0,0.0,0.0
84ce88dffffffff,1.0,0.0,0.0
84ce8b3ffffffff,5.0,0.0,5.0
84ce8c1ffffffff,19.0,0.0,0.0
84ce8c3ffffffff,9.0,0.0,0.0
84ce8c7ffffffff,22.0,0.0,0.0
84cea8dffffffff,8.0,0.0,0.0
84ceaa1ffffffff,2.0,0.0,0.0
84ceac1ffffffff,1.0,0.0,0.0
84ceae3ffffffff,4.0,0.0,0.0
84ceae7ffffffff,2.0,0.0,0.0
84cf129ffffffff,2.0,0.0,0.0
84cf165ffffffff,5.0,0.0,0.0
84cf893ffffffff,2.0,0.0,0.0
84cf897ffffffff,2.0,0.0,0.0
84cf8b3ffffffff,3.0,0.0,0.0
84cfa0dffffffff,2.0,0.0,0.0
84cfa47ffffffff,3.0,0.0,0.0
84de701ffffffff,4.0,0.0,0.0
84df41bffffffff,1.0,0.0,0.0
84df683ffffffff,1.0,0.0,0.0
84df68bffffffff,24.0,0.0,0.0
84df699ffffffff,2.0,0.0,0.0
84df69dffffffff,14.0,0.0,0.0
84df6b5ffffffff,5.0,0.0,0.0
84df6d7ffffffff,11.0,0.0,0.0
