cell_id,Empidonax traillii,Empidonax traillii traillii,Empidonax traillii brewsteri/adastus,Empidonax traillii extimus
82128ffffffffff,283.0,0.0,0.0,0.0
82129ffffffffff,8.0,0.0,0.0,0.0
8212affffffffff,7.0,0.0,0.0,0.0
8212c7fffffffff,897.0,0.0,0.0,0.0
8212cffffffffff,1271.0,0.0,0.0,0.0
8212d7fffffffff,1837.0,0.0,0.0,0.0
8212dffffffffff,4387.0,0.0,0.0,0.0
8212e7fffffffff,3.0,0.0,0.0,0.0
8212f7fffffffff,82.0,0.0,0.0,0.0
822607fffffffff,206.0,3.0,0.0,0.0
82260ffffffffff,479.0,1.0,0.0,0.0
822617fffffffff,143.0,0.0,0.0,0.0
82261ffffffffff,153.0,0.0,0.0,0.0
822627fffffffff,556.0,0.0,0.0,0.0
82262ffffffffff,1198.0,0.0,0.0,0.0
822637fffffffff,578.0,0.0,0.0,0.0
822647fffffffff,581.0,16.0,0.0,0.0
82264ffffffffff,100.0,0.0,0.0,0.0
822657fffffffff,618.0,0.0,0.0,0.0
82265ffffffffff,69.0,0.0,0.0,0.0
822667fffffffff,5800.0,27.0,0.0,0.0
82266ffffffffff,1425.0,0.0,0.0,0.0
822677fffffffff,497.0,11.0,0.0,0.0
822687fffffffff,555.0,0.0,0.0,0.0
82268ffffffffff,1129.0,0.0,0.0,0.0
822697fffffffff,1091.0,0.0,0.0,8.0
82269ffffffffff,546.0,0.0,0.0,32.0
8226a7fffffffff,34.0,0.0,0.0,0.0
8226affffffffff,734.0,0.0,0.0,0.0
8226b7fffffffff,335.0,0.0,0.0,0.0
8226c7fffffffff,51.0,0.0,0.0,0.0
8226cffffffffff,15.0,0.0,0.0,0.0
8226d7fffffffff,189.0,0.0,0.0,0.0
8226dffffffffff,124.0,0.0,0.0,0.0
8226e7fffffffff,173.0,0.0,0.0,0.0
8226effffffffff,66.0,0.0,0.0,0.0
8226f7fffffffff,99.0,0.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0,0.0
822717fffffffff,32.0,0.0,0.0,0.0
82271ffffffffff,329.0,0.0,0.0,0.0
822747fffffffff,405.0,0.0,0.0,0.0
82274ffffffffff,6370.0,0.0,0.0,0.0
822757fffffffff,501.0,0.0,0.0,0.0
82275ffffffffff,8232.0,6.0,0.0,0.0
82276ffffffffff,1067.0,0.0,0.0,0.0
822787fffffffff,88.0,0.0,0.0,0.0
82278ffffffffff,78.0,0.0,0.0,0.0
822797fffffffff,626.0,0.0,0.0,0.0
82279ffffffffff,76.0,0.0,0.0,0.0
8227a7fffffffff,12.0,0.0,0.0,0.0
8227affffffffff,595.0,0.0,0.0,0.0
8227b7fffffffff,13.0,0.0,0.0,0.0
822807fffffffff,450.0,0.0,0.0,0.0
822817fffffffff,1000.0,0.0,0.0,0.0
82281ffffffffff,1581.0,0.0,0.0,0.0
822837fffffffff,4861.0,0.0,0.0,0.0
822887fffffffff,1348.0,0.0,0.0,0.0
82288ffffffffff,2168.0,0.0,0.0,0.0
822897fffffffff,1579.0,0.0,0.0,0.0
82289ffffffffff,1562.0,0.0,0.0,0.0
8228a7fffffffff,161.0,0.0,0.0,0.0
8228affffffffff,1712.0,0.0,0.0,0.0
8228b7fffffffff,597.0,0.0,0.0,0.0
8228c7fffffffff,377.0,0.0,0.0,0.0
8228d7fffffffff,14450.0,0.0,0.0,0.0
8228dffffffffff,6348.0,0.0,0.0,0.0
8228f7fffffffff,6983.0,0.0,0.0,0.0
822917fffffffff,240.0,0.0,0.0,5.0
822987fffffffff,1014.0,0.0,0.0,0.0
82298ffffffffff,873.0,0.0,0.0,0.0
822997fffffffff,124.0,0.0,0.0,2.0
82299ffffffffff,44.0,0.0,0.0,0.0
8229a7fffffffff,5385.0,0.0,0.0,0.0
8229affffffffff,1373.0,0.0,0.0,0.0
8229b7fffffffff,774.0,0.0,0.0,14.0
822a17fffffffff,19569.0,3.0,0.0,0.0
822a37fffffffff,9672.0,8.0,0.0,0.0
822a4ffffffffff,1.0,0.0,0.0,0.0
822a87fffffffff,3304.0,19.0,0.0,0.0
822a8ffffffffff,583.0,6.0,0.0,0.0
822a97fffffffff,6143.0,0.0,0.0,0.0
822a9ffffffffff,330.0,3.0,0.0,0.0
822aa7fffffffff,6604.0,11.0,0.0,0.0
822aaffffffffff,8183.0,18.0,0.0,0.0
822ab7fffffffff,14487.0,11.0,0.0,0.0
822b07fffffffff,17.0,0.0,0.0,0.0
822b0ffffffffff,35.0,0.0,0.0,0.0
822b17fffffffff,11.0,0.0,0.0,0.0
822b1ffffffffff,618.0,0.0,0.0,0.0
822b87fffffffff,876.0,29.0,0.0,0.0
822b8ffffffffff,5549.0,0.0,0.0,0.0
822b9ffffffffff,7057.0,45.0,0.0,0.0
822ba7fffffffff,2.0,0.0,0.0,0.0
822baffffffffff,3820.0,0.0,0.0,0.0
