cell_id,Phylloscopus presbytes,Phylloscopus presbytes floresianus,Phylloscopus presbytes presbytes
8494231ffffffff,52.0,0.0,1.0
8494235ffffffff,13.0,0.0,0.0
8494237ffffffff,6.0,0.0,0.0
849423bffffffff,4.0,0.0,0.0
849426dffffffff,6.0,0.0,0.0
8494289ffffffff,1.0,0.0,0.0
84942c1ffffffff,42.0,0.0,14.0
84942c3ffffffff,4.0,0.0,4.0
84942c5ffffffff,10.0,0.0,5.0
84942c7ffffffff,3.0,0.0,0.0
84942c9ffffffff,5.0,0.0,1.0
84942cdffffffff,1.0,0.0,1.0
84942d3ffffffff,63.0,0.0,36.0
84942d5ffffffff,12.0,0.0,5.0
84942e9ffffffff,10.0,0.0,8.0
8495185ffffffff,154.0,101.0,0.0
8495187ffffffff,4.0,4.0,0.0
84951a9ffffffff,4.0,0.0,0.0
84951abffffffff,4.0,2.0,0.0
84951e3ffffffff,2.0,0.0,0.0
8495531ffffffff,2.0,0.0,0.0
8495533ffffffff,3.0,0.0,0.0
8495537ffffffff,4.0,0.0,1.0
