cell_id,Haemorhous purpureus,Haemorhous purpureus purpureus,Haemorhous purpureus californicus
830c41fffffffff,2.0,0.0,0.0
830c42fffffffff,11.0,1.0,0.0
830c45fffffffff,3.0,2.0,0.0
830c51fffffffff,4.0,0.0,0.0
830c5afffffffff,1.0,0.0,0.0
830c73fffffffff,27.0,4.0,0.0
830ca4fffffffff,1.0,0.0,1.0
830d58fffffffff,2.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0
830e49fffffffff,1.0,0.0,0.0
830ec9fffffffff,30.0,8.0,0.0
830eccfffffffff,18.0,0.0,0.0
831226fffffffff,1.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831254fffffffff,2.0,0.0,0.0
831259fffffffff,4.0,0.0,0.0
83125dfffffffff,1.0,0.0,0.0
831289fffffffff,2.0,0.0,0.0
83128dfffffffff,4.0,1.0,0.0
831290fffffffff,2.0,0.0,0.0
831294fffffffff,2.0,0.0,2.0
83129dfffffffff,4.0,0.0,0.0
8312abfffffffff,1.0,1.0,0.0
8312b0fffffffff,6.0,0.0,0.0
8312c0fffffffff,38.0,0.0,0.0
8312c1fffffffff,9.0,0.0,0.0
8312c2fffffffff,6.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0
8312c8fffffffff,3.0,1.0,0.0
8312c9fffffffff,2.0,0.0,1.0
8312cafffffffff,4.0,0.0,0.0
8312ccfffffffff,51.0,0.0,0.0
8312cdfffffffff,22.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0
8312d0fffffffff,2.0,0.0,0.0
8312d1fffffffff,13.0,0.0,0.0
8312d2fffffffff,2.0,0.0,0.0
8312d3fffffffff,2.0,0.0,0.0
8312d4fffffffff,2.0,0.0,0.0
8312d5fffffffff,5.0,0.0,0.0
8312d6fffffffff,3.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0
8312dbfffffffff,30.0,29.0,0.0
8312dcfffffffff,12.0,0.0,0.0
8312ddfffffffff,10.0,0.0,0.0
8312defffffffff,9.0,0.0,0.0
8312e8fffffffff,6.0,0.0,0.0
8312eafffffffff,1.0,0.0,0.0
8312ecfffffffff,35.0,4.0,0.0
8312edfffffffff,1.0,0.0,0.0
8312eefffffffff,1.0,0.0,0.0
8312f1fffffffff,3.0,0.0,0.0
8312f3fffffffff,3.0,0.0,0.0
8312f6fffffffff,3.0,0.0,0.0
831382fffffffff,4.0,0.0,0.0
831383fffffffff,4.0,0.0,0.0
831386fffffffff,70.0,0.0,0.0
83138cfffffffff,3.0,0.0,0.0
831391fffffffff,2.0,0.0,0.0
8313b3fffffffff,1.0,0.0,0.0
831aa0fffffffff,26.0,0.0,0.0
831aa2fffffffff,2.0,0.0,0.0
831aa3fffffffff,17.0,0.0,0.0
831aa4fffffffff,15.0,0.0,0.0
831ab0fffffffff,4.0,0.0,0.0
831b99fffffffff,3.0,0.0,0.0
831b9efffffffff,7.0,0.0,0.0
8322dbfffffffff,3.0,0.0,0.0
832601fffffffff,4.0,0.0,0.0
832603fffffffff,1.0,0.0,0.0
832604fffffffff,3.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0
832608fffffffff,4.0,1.0,0.0
83260afffffffff,36.0,1.0,0.0
83260bfffffffff,2.0,0.0,0.0
83260efffffffff,9.0,9.0,0.0
832611fffffffff,2.0,0.0,0.0
832612fffffffff,2.0,0.0,0.0
832616fffffffff,2.0,0.0,0.0
832618fffffffff,2.0,0.0,0.0
83261afffffffff,2.0,0.0,0.0
83261cfffffffff,4.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0
832625fffffffff,8.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0
832628fffffffff,2.0,0.0,0.0
832629fffffffff,4.0,0.0,0.0
83262cfffffffff,6.0,0.0,0.0
83262dfffffffff,2.0,0.0,0.0
832636fffffffff,11.0,0.0,0.0
832640fffffffff,2.0,0.0,0.0
832641fffffffff,6.0,0.0,0.0
832642fffffffff,5.0,0.0,0.0
832643fffffffff,2.0,0.0,0.0
832645fffffffff,2.0,0.0,0.0
832646fffffffff,10.0,0.0,0.0
832648fffffffff,7.0,0.0,0.0
832649fffffffff,1.0,0.0,0.0
83264afffffffff,11.0,2.0,0.0
83264bfffffffff,4.0,0.0,0.0
83264cfffffffff,23.0,13.0,0.0
83264dfffffffff,96.0,0.0,0.0
83264efffffffff,26.0,0.0,0.0
832651fffffffff,4.0,0.0,0.0
832652fffffffff,2.0,0.0,0.0
832653fffffffff,13.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0
832655fffffffff,24.0,5.0,0.0
832656fffffffff,20.0,2.0,0.0
832658fffffffff,3.0,0.0,0.0
832659fffffffff,76.0,0.0,0.0
83265afffffffff,2.0,0.0,0.0
83265bfffffffff,8.0,0.0,0.0
832660fffffffff,12.0,0.0,0.0
832661fffffffff,13.0,2.0,0.0
832662fffffffff,17.0,3.0,0.0
832663fffffffff,8.0,0.0,0.0
832664fffffffff,52.0,1.0,0.0
832665fffffffff,8.0,0.0,0.0
832666fffffffff,28.0,0.0,0.0
832668fffffffff,14.0,0.0,0.0
832669fffffffff,14.0,0.0,0.0
83266afffffffff,4.0,0.0,0.0
83266bfffffffff,4.0,0.0,0.0
83266cfffffffff,139.0,0.0,0.0
83266dfffffffff,17.0,2.0,0.0
83266efffffffff,100.0,0.0,0.0
832670fffffffff,1.0,0.0,0.0
832671fffffffff,2.0,0.0,0.0
832672fffffffff,2.0,0.0,0.0
832673fffffffff,3.0,0.0,0.0
832674fffffffff,10.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832681fffffffff,29.0,2.0,0.0
832685fffffffff,3.0,2.0,0.0
832688fffffffff,13.0,3.0,0.0
832689fffffffff,2.0,0.0,0.0
83268cfffffffff,9.0,1.0,0.0
832690fffffffff,4.0,0.0,0.0
832696fffffffff,14.0,5.0,0.0
832698fffffffff,11.0,0.0,0.0
8326a1fffffffff,3.0,0.0,0.0
8326a2fffffffff,2.0,1.0,0.0
8326a5fffffffff,2.0,0.0,0.0
8326a8fffffffff,2.0,0.0,0.0
8326a9fffffffff,4.0,2.0,0.0
8326aafffffffff,24.0,0.0,0.0
8326abfffffffff,2.0,2.0,0.0
8326acfffffffff,4.0,0.0,0.0
8326adfffffffff,2.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0
8326b6fffffffff,2.0,0.0,0.0
8326c1fffffffff,22.0,0.0,0.0
8326c2fffffffff,2.0,0.0,0.0
8326c3fffffffff,2.0,0.0,0.0
8326c4fffffffff,4.0,0.0,0.0
8326c5fffffffff,10.0,0.0,0.0
8326c8fffffffff,208.0,0.0,0.0
8326c9fffffffff,5.0,0.0,0.0
8326cafffffffff,51.0,0.0,0.0
8326cbfffffffff,47.0,0.0,0.0
8326ccfffffffff,5.0,0.0,0.0
8326cefffffffff,2.0,0.0,0.0
8326d1fffffffff,3.0,0.0,0.0
8326d4fffffffff,5.0,2.0,0.0
8326defffffffff,4.0,0.0,0.0
8326e0fffffffff,1.0,0.0,0.0
8326e2fffffffff,4.0,0.0,0.0
8326e5fffffffff,7.0,0.0,0.0
8326e6fffffffff,9.0,0.0,0.0
8326e9fffffffff,1.0,0.0,0.0
8326edfffffffff,4.0,0.0,0.0
8326eefffffffff,1.0,0.0,0.0
8326f0fffffffff,8.0,0.0,0.0
8326f1fffffffff,2.0,0.0,0.0
8326f2fffffffff,5.0,0.0,0.0
8326f6fffffffff,5.0,0.0,0.0
832700fffffffff,20.0,0.0,0.0
832702fffffffff,15.0,0.0,0.0
832703fffffffff,49.0,0.0,0.0
832706fffffffff,5.0,0.0,0.0
832709fffffffff,7.0,4.0,0.0
832711fffffffff,15.0,0.0,0.0
832712fffffffff,2.0,0.0,0.0
832713fffffffff,12.0,0.0,0.0
832715fffffffff,3.0,0.0,0.0
832716fffffffff,1.0,0.0,0.0
832718fffffffff,2.0,0.0,0.0
832719fffffffff,10.0,0.0,0.0
83271afffffffff,2.0,0.0,0.0
83271cfffffffff,47.0,0.0,0.0
83271dfffffffff,1.0,0.0,0.0
83271efffffffff,1.0,0.0,0.0
832741fffffffff,18.0,0.0,0.0
832742fffffffff,3.0,0.0,0.0
832743fffffffff,20.0,0.0,0.0
832744fffffffff,5.0,0.0,0.0
832745fffffffff,6.0,0.0,0.0
832746fffffffff,25.0,2.0,0.0
832748fffffffff,108.0,0.0,0.0
832749fffffffff,74.0,0.0,0.0
83274afffffffff,36.0,1.0,0.0
83274bfffffffff,28.0,0.0,0.0
83274cfffffffff,7.0,0.0,0.0
83274dfffffffff,47.0,0.0,0.0
83274efffffffff,25.0,0.0,0.0
832752fffffffff,5.0,0.0,0.0
832753fffffffff,4.0,0.0,0.0
832754fffffffff,21.0,3.0,0.0
832755fffffffff,7.0,0.0,0.0
832756fffffffff,75.0,7.0,0.0
832758fffffffff,41.0,0.0,0.0
832759fffffffff,51.0,0.0,0.0
83275afffffffff,24.0,0.0,0.0
83275bfffffffff,33.0,2.0,0.0
83275cfffffffff,23.0,4.0,0.0
83275dfffffffff,34.0,1.0,0.0
83275efffffffff,16.0,0.0,0.0
832763fffffffff,34.0,1.0,0.0
832766fffffffff,3.0,0.0,0.0
832768fffffffff,2.0,0.0,0.0
832769fffffffff,11.0,0.0,0.0
83276afffffffff,11.0,0.0,0.0
83276bfffffffff,22.0,0.0,0.0
83276dfffffffff,9.0,0.0,0.0
83276efffffffff,53.0,0.0,0.0
832770fffffffff,2.0,2.0,0.0
832771fffffffff,1.0,0.0,0.0
832772fffffffff,2.0,0.0,0.0
832773fffffffff,5.0,0.0,0.0
832774fffffffff,2.0,2.0,0.0
832780fffffffff,1.0,0.0,0.0
832783fffffffff,1.0,0.0,0.0
832785fffffffff,5.0,3.0,0.0
832786fffffffff,4.0,0.0,0.0
83278cfffffffff,2.0,0.0,0.0
83278dfffffffff,2.0,0.0,0.0
83278efffffffff,6.0,0.0,0.0
832790fffffffff,2.0,0.0,0.0
832796fffffffff,3.0,0.0,2.0
8327a0fffffffff,6.0,0.0,0.0
8327a4fffffffff,1.0,0.0,0.0
8327a5fffffffff,2.0,0.0,0.0
8327a6fffffffff,2.0,0.0,0.0
8327a8fffffffff,21.0,0.0,0.0
8327a9fffffffff,4.0,0.0,0.0
8327abfffffffff,15.0,0.0,0.0
8327acfffffffff,4.0,0.0,0.0
8327adfffffffff,48.0,7.0,0.0
8327aefffffffff,2.0,0.0,0.0
8327b2fffffffff,5.0,0.0,0.0
8327b6fffffffff,1.0,0.0,0.0
832802fffffffff,29.0,9.0,2.0
832803fffffffff,2.0,0.0,2.0
832806fffffffff,3.0,0.0,2.0
832810fffffffff,48.0,0.0,12.0
832811fffffffff,6.0,0.0,0.0
832812fffffffff,8.0,0.0,0.0
832813fffffffff,6.0,0.0,4.0
832814fffffffff,121.0,0.0,100.0
832815fffffffff,42.0,0.0,6.0
832818fffffffff,10.0,0.0,7.0
832819fffffffff,2.0,0.0,0.0
83281bfffffffff,1.0,0.0,0.0
83281dfffffffff,6.0,0.0,0.0
83281efffffffff,75.0,0.0,55.0
832830fffffffff,214.0,0.0,52.0
832832fffffffff,987.0,0.0,787.0
832833fffffffff,28.0,0.0,5.0
832834fffffffff,17.0,0.0,8.0
832835fffffffff,36.0,4.0,11.0
832836fffffffff,323.0,0.0,55.0
832881fffffffff,2.0,0.0,0.0
832884fffffffff,21.0,0.0,3.0
832886fffffffff,2.0,0.0,0.0
832888fffffffff,203.0,0.0,12.0
832889fffffffff,4.0,0.0,3.0
83288afffffffff,13.0,0.0,0.0
83288bfffffffff,5.0,0.0,0.0
83288cfffffffff,15.0,0.0,7.0
83288dfffffffff,9.0,0.0,3.0
83288efffffffff,2.0,0.0,0.0
832890fffffffff,3.0,0.0,0.0
83289bfffffffff,4.0,0.0,0.0
8328a9fffffffff,33.0,0.0,0.0
8328aefffffffff,4.0,0.0,0.0
8328b1fffffffff,4.0,0.0,3.0
8328b3fffffffff,1.0,0.0,0.0
8328b6fffffffff,1.0,0.0,0.0
8328c0fffffffff,14.0,0.0,14.0
8328c2fffffffff,1.0,0.0,1.0
8328c6fffffffff,8.0,0.0,6.0
8328d1fffffffff,12.0,0.0,10.0
8328d2fffffffff,52.0,0.0,0.0
8328d3fffffffff,7.0,0.0,3.0
8328d4fffffffff,6.0,0.0,2.0
8328d5fffffffff,73.0,0.0,14.0
8328d6fffffffff,21.0,0.0,0.0
8328dcfffffffff,7.0,0.0,0.0
8328defffffffff,15.0,0.0,12.0
8328f0fffffffff,20.0,0.0,2.0
8328f1fffffffff,4.0,0.0,4.0
8328f2fffffffff,11.0,0.0,8.0
8328f3fffffffff,5.0,0.0,2.0
8328f5fffffffff,13.0,0.0,11.0
8328f6fffffffff,1.0,0.0,0.0
832912fffffffff,3.0,0.0,0.0
832913fffffffff,2.0,0.0,2.0
832916fffffffff,7.0,0.0,0.0
83291afffffffff,3.0,0.0,2.0
832980fffffffff,4.0,0.0,0.0
832981fffffffff,3.0,0.0,0.0
832984fffffffff,20.0,0.0,2.0
832985fffffffff,38.0,6.0,5.0
832986fffffffff,30.0,0.0,1.0
832989fffffffff,94.0,0.0,13.0
83298cfffffffff,51.0,0.0,31.0
83298dfffffffff,10.0,0.0,1.0
832995fffffffff,15.0,3.0,3.0
8329a0fffffffff,284.0,0.0,4.0
8329a1fffffffff,77.0,0.0,3.0
8329a2fffffffff,20.0,0.0,0.0
8329a3fffffffff,8.0,0.0,2.0
8329a4fffffffff,99.0,0.0,10.0
8329a5fffffffff,126.0,0.0,4.0
8329a6fffffffff,6.0,0.0,0.0
8329a8fffffffff,6.0,0.0,2.0
8329a9fffffffff,8.0,0.0,0.0
8329aafffffffff,6.0,0.0,6.0
8329acfffffffff,1.0,0.0,1.0
8329adfffffffff,81.0,0.0,71.0
8329aefffffffff,10.0,0.0,4.0
8329b0fffffffff,28.0,0.0,11.0
8329b1fffffffff,23.0,0.0,4.0
8329b2fffffffff,3.0,0.0,3.0
8329b5fffffffff,14.0,0.0,6.0
8329b6fffffffff,61.0,0.0,12.0
832a04fffffffff,12.0,2.0,0.0
832a06fffffffff,39.0,16.0,0.0
832a10fffffffff,927.0,73.0,0.0
832a12fffffffff,446.0,15.0,0.0
832a13fffffffff,494.0,4.0,0.0
832a14fffffffff,424.0,15.0,0.0
832a15fffffffff,163.0,1.0,0.0
832a16fffffffff,62.0,0.0,0.0
