cell_id,Spinus pinus,Spinus pinus pinus/macropterus,Spinus pinus perplexus,Spinus pinus (green morph)
820c07fffffffff,2.0,0.0,0.0,0.0
820c17fffffffff,23.0,0.0,0.0,0.0
820c47fffffffff,76.0,5.0,0.0,0.0
820c57fffffffff,8.0,0.0,0.0,0.0
820c5ffffffffff,6.0,0.0,0.0,0.0
820c77fffffffff,15.0,0.0,0.0,0.0
820c87fffffffff,2.0,0.0,0.0,0.0
820ca7fffffffff,52.0,1.0,0.0,0.0
820ccffffffffff,1.0,0.0,0.0,0.0
820cdffffffffff,5.0,0.0,0.0,0.0
820ceffffffffff,3.0,0.0,0.0,0.0
820d07fffffffff,5.0,0.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0,0.0
820e87fffffffff,28.0,0.0,0.0,0.0
820ecffffffffff,28.0,19.0,0.0,1.0
820edffffffffff,8.0,0.0,0.0,0.0
820eeffffffffff,7.0,3.0,0.0,0.0
82121ffffffffff,2.0,2.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0,0.0
821257fffffffff,4.0,4.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0,0.0
82128ffffffffff,1.0,0.0,0.0,0.0
8212affffffffff,6.0,0.0,0.0,0.0
8212b7fffffffff,39.0,3.0,0.0,2.0
8212c7fffffffff,10.0,0.0,0.0,0.0
8212cffffffffff,25.0,5.0,0.0,0.0
8212d7fffffffff,6.0,0.0,0.0,4.0
8212dffffffffff,22.0,4.0,0.0,6.0
8212effffffffff,4.0,0.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
821317fffffffff,1.0,0.0,0.0,0.0
821357fffffffff,4.0,0.0,0.0,0.0
821387fffffffff,131.0,0.0,0.0,0.0
82138ffffffffff,15.0,0.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0,0.0
821aa7fffffffff,17.0,0.0,0.0,0.0
821b9ffffffffff,5.0,0.0,0.0,0.0
8222d7fffffffff,36.0,0.0,0.0,0.0
8222dffffffffff,59.0,0.0,0.0,0.0
8222effffffffff,89.0,0.0,0.0,0.0
822607fffffffff,16.0,0.0,0.0,0.0
82260ffffffffff,18.0,0.0,0.0,0.0
822617fffffffff,3.0,0.0,0.0,0.0
82261ffffffffff,5.0,0.0,0.0,0.0
822627fffffffff,9.0,0.0,0.0,0.0
82262ffffffffff,36.0,4.0,0.0,0.0
822637fffffffff,9.0,0.0,0.0,6.0
822647fffffffff,116.0,0.0,0.0,0.0
82264ffffffffff,219.0,0.0,0.0,2.0
822657fffffffff,149.0,0.0,0.0,0.0
82265ffffffffff,224.0,4.0,0.0,0.0
822667fffffffff,405.0,5.0,0.0,0.0
