cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
825287fffffffff,4.0,0.0,0.0,0.0
82528ffffffffff,2.0,0.0,0.0,0.0
82529ffffffffff,8.0,0.0,0.0,0.0
8252cffffffffff,2.0,0.0,0.0,0.0
8252d7fffffffff,3.0,0.0,0.0,0.0
8254affffffffff,4.0,0.0,0.0,4.0
826a47fffffffff,12.0,0.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0,0.0
826a67fffffffff,12.0,0.0,0.0,0.0
826a6ffffffffff,7.0,0.0,0.0,0.0
827a47fffffffff,41.0,0.0,7.0,0.0
827a4ffffffffff,35.0,0.0,0.0,0.0
827a5ffffffffff,4.0,0.0,0.0,0.0
827a67fffffffff,4.0,0.0,3.0,0.0
827a6ffffffffff,28.0,0.0,21.0,0.0
827ac7fffffffff,1.0,0.0,0.0,0.0
827acffffffffff,140.0,0.0,0.0,1.0
827adffffffffff,124.0,0.0,0.0,0.0
827aeffffffffff,122.0,0.0,0.0,0.0
827b4ffffffffff,5.0,0.0,0.0,0.0
827b5ffffffffff,4.0,0.0,1.0,0.0
8282a7fffffffff,11.0,0.0,0.0,0.0
829627fffffffff,1.0,0.0,1.0,0.0
829697fffffffff,3.0,0.0,0.0,0.0
8296b7fffffffff,80.0,0.0,0.0,0.0
829727fffffffff,4.0,0.0,4.0,0.0
82972ffffffffff,25.0,0.0,23.0,0.0
829747fffffffff,1.0,0.0,0.0,0.0
82974ffffffffff,6.0,0.0,0.0,0.0
82975ffffffffff,4.0,0.0,0.0,0.0
82ad87fffffffff,3.0,2.0,0.0,0.0
82bc0ffffffffff,2.0,0.0,0.0,0.0
82bc47fffffffff,7.0,0.0,0.0,0.0
82bcc7fffffffff,12.0,7.0,5.0,0.0
82bcd7fffffffff,94.0,0.0,74.0,0.0
82bcdffffffffff,21.0,4.0,12.0,0.0
82bcf7fffffffff,3.0,0.0,0.0,0.0
