cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
84209a9ffffffff,1.0,0.0,0.0
84309a5ffffffff,5.0,0.0,0.0
843c029ffffffff,24.0,0.0,0.0
843c02bffffffff,2.0,0.0,0.0
843c02dffffffff,32.0,0.0,0.0
843c031ffffffff,2.0,0.0,0.0
843c035ffffffff,1.0,0.0,0.0
843c063ffffffff,13.0,0.0,0.0
843c0a3ffffffff,41.0,6.0,0.0
843c0a5ffffffff,13.0,0.0,0.0
843c0a9ffffffff,87.0,0.0,0.0
843c0adffffffff,30.0,0.0,0.0
843c0b5ffffffff,47.0,5.0,0.0
843c0b7ffffffff,55.0,3.0,0.0
843c0bdffffffff,3.0,0.0,0.0
843c0e7ffffffff,26.0,0.0,0.0
843c199ffffffff,4.0,0.0,0.0
843c1d1ffffffff,28.0,0.0,0.0
843c1d3ffffffff,24.0,0.0,0.0
843c1dbffffffff,11.0,0.0,0.0
843c315ffffffff,6.0,0.0,0.0
843c317ffffffff,3.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c34bffffffff,2.0,0.0,0.0
843c437ffffffff,7.0,1.0,0.0
843c521ffffffff,113.0,0.0,0.0
843c525ffffffff,10.0,0.0,0.0
843c527ffffffff,255.0,0.0,0.0
843c529ffffffff,2.0,0.0,0.0
843c52dffffffff,3.0,0.0,0.0
843c567ffffffff,3.0,0.0,0.0
843c581ffffffff,110.0,0.0,0.0
843c595ffffffff,15.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0
843c5cbffffffff,1.0,0.0,0.0
843c5d5ffffffff,3.0,0.0,0.0
843c5ddffffffff,5.0,0.0,0.0
843cc31ffffffff,15.0,0.0,0.0
843cd8bffffffff,62.0,0.0,14.0
843cd9dffffffff,2.0,0.0,2.0
843cdd5ffffffff,2.0,0.0,0.0
843ce53ffffffff,1.0,0.0,0.0
843ce59ffffffff,53.0,8.0,0.0
843ce5bffffffff,7.0,0.0,0.0
843ce5dffffffff,4.0,0.0,0.0
843ce85ffffffff,7.0,0.0,0.0
843ce87ffffffff,4.0,0.0,0.0
843ce95ffffffff,2.0,0.0,0.0
843cebdffffffff,10.0,0.0,0.0
843d103ffffffff,9.0,0.0,0.0
843d115ffffffff,7.0,0.0,0.0
843d11dffffffff,4.0,0.0,0.0
843d139ffffffff,1.0,0.0,0.0
843d1a9ffffffff,36.0,0.0,0.0
843d1e7ffffffff,141.0,0.0,0.0
843d1e9ffffffff,5.0,0.0,0.0
843d1edffffffff,50.0,0.0,0.0
843dad1ffffffff,73.0,0.0,0.0
843dadbffffffff,2.0,0.0,0.0
84400a5ffffffff,1.0,0.0,0.0
8440439ffffffff,18.0,0.0,2.0
8440443ffffffff,2.0,0.0,0.0
8440447ffffffff,1.0,0.0,0.0
8440457ffffffff,1.0,0.0,0.0
84404c3ffffffff,1.0,0.0,0.0
84404c5ffffffff,6.0,0.0,2.0
84404c7ffffffff,2.0,0.0,0.0
84404ddffffffff,7.0,0.0,0.0
84404e1ffffffff,2.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
8440589ffffffff,2.0,0.0,0.0
844059dffffffff,2.0,0.0,0.0
84405c1ffffffff,4.0,0.0,0.0
84405c9ffffffff,1.0,0.0,1.0
84405ddffffffff,3.0,0.0,1.0
844061bffffffff,1.0,0.0,0.0
8440899ffffffff,7.0,0.0,0.0
844089dffffffff,1.0,0.0,0.0
84408d3ffffffff,1.0,0.0,0.0
8440c45ffffffff,2.0,0.0,0.0
8440c59ffffffff,4.0,0.0,0.0
8440c61ffffffff,2.0,0.0,0.0
8440c63ffffffff,4.0,0.0,0.0
8440c69ffffffff,2.0,0.0,0.0
8440c6bffffffff,2.0,0.0,0.0
8440c6dffffffff,27.0,0.0,0.0
8440e13ffffffff,38.0,0.0,0.0
8440e17ffffffff,2.0,0.0,0.0
8440ec1ffffffff,3.0,0.0,0.0
8440eebffffffff,12.0,0.0,0.0
8440eedffffffff,1.0,0.0,0.0
844184bffffffff,2.0,0.0,0.0
84419dbffffffff,1.0,0.0,0.0
8441b21ffffffff,1.0,0.0,0.0
8441b31ffffffff,5.0,0.0,0.0
846934dffffffff,3.0,0.0,1.0
