cell_id,Poliocrania exsul,Poliocrania exsul [exsul Group],Poliocrania exsul maculifer/cassini
8445305ffffffff,2.0,0.0,0.0
844532bffffffff,7.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
8445365ffffffff,12.0,0.0,0.0
8466027ffffffff,2.0,0.0,0.0
8466031ffffffff,2.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,2.0,0.0,0.0
8466045ffffffff,2.0,0.0,0.0
8466085ffffffff,3.0,0.0,0.0
846608dffffffff,28.0,0.0,0.0
84660a1ffffffff,5.0,0.0,0.0
84660a5ffffffff,15.0,0.0,0.0
84660a7ffffffff,685.0,0.0,7.0
84660a9ffffffff,2.0,0.0,0.0
84660e5ffffffff,14.0,0.0,0.0
84660e7ffffffff,30.0,0.0,0.0
8466101ffffffff,2.0,0.0,0.0
8466103ffffffff,14.0,0.0,0.0
8466105ffffffff,20.0,0.0,0.0
8466107ffffffff,421.0,0.0,0.0
846610bffffffff,7.0,0.0,0.0
8466111ffffffff,2.0,0.0,0.0
8466113ffffffff,33.0,0.0,0.0
8466117ffffffff,35.0,0.0,0.0
846611dffffffff,3.0,0.0,0.0
8466123ffffffff,1.0,0.0,0.0
8466129ffffffff,40.0,0.0,0.0
8466131ffffffff,98.0,0.0,0.0
8466135ffffffff,12.0,0.0,0.0
8466137ffffffff,1.0,0.0,0.0
8466139ffffffff,973.0,0.0,0.0
846613bffffffff,31.0,0.0,0.0
846613dffffffff,77.0,0.0,0.0
8466161ffffffff,2.0,0.0,0.0
8466163ffffffff,399.0,0.0,0.0
8466165ffffffff,449.0,0.0,0.0
8466167ffffffff,29.0,0.0,0.0
8466191ffffffff,3.0,0.0,0.0
8466193ffffffff,15.0,0.0,0.0
8466199ffffffff,23.0,0.0,0.0
846619bffffffff,840.0,0.0,0.0
84661a3ffffffff,3.0,0.0,0.0
84661a5ffffffff,261.0,0.0,2.0
84661a7ffffffff,68.0,0.0,0.0
84661adffffffff,180.0,0.0,3.0
84661b1ffffffff,24.0,0.0,0.0
84661b7ffffffff,13.0,0.0,0.0
84661b9ffffffff,4.0,0.0,0.0
84661bdffffffff,41.0,0.0,0.0
84661c1ffffffff,19.0,0.0,0.0
84661c5ffffffff,9.0,0.0,0.0
84661c9ffffffff,17.0,0.0,0.0
84661cbffffffff,34.0,0.0,0.0
84661cdffffffff,102.0,0.0,0.0
84661d1ffffffff,8.0,0.0,0.0
84661d3ffffffff,4.0,0.0,0.0
84661ebffffffff,431.0,0.0,0.0
8466a01ffffffff,150.0,0.0,0.0
8466a05ffffffff,36.0,0.0,0.0
8466a09ffffffff,13.0,0.0,0.0
8466a0bffffffff,959.0,0.0,0.0
8466a23ffffffff,2.0,0.0,0.0
8466a25ffffffff,24.0,0.0,0.0
8466a31ffffffff,23.0,0.0,0.0
8466a33ffffffff,91.0,0.0,0.0
8466a37ffffffff,2.0,0.0,0.0
8466a39ffffffff,2.0,0.0,0.0
8466a51ffffffff,3654.0,0.0,0.0
8466a55ffffffff,155.0,0.0,0.0
8466a57ffffffff,168.0,0.0,0.0
8466a59ffffffff,38.0,0.0,0.0
8466a5bffffffff,154.0,0.0,0.0
8466a5dffffffff,148.0,0.0,0.0
8466a65ffffffff,1028.0,0.0,0.0
8466a67ffffffff,16.0,0.0,0.0
8466a9bffffffff,12.0,0.0,0.0
8466ad9ffffffff,1.0,0.0,0.0
8466b01ffffffff,683.0,0.0,0.0
8466b09ffffffff,954.0,0.0,0.0
8466b0bffffffff,1998.0,0.0,0.0
8466b1dffffffff,34.0,0.0,0.0
8466b41ffffffff,296.0,0.0,0.0
8466b43ffffffff,337.0,0.0,0.0
8466b45ffffffff,764.0,0.0,0.0
8466b47ffffffff,678.0,0.0,0.0
8466b49ffffffff,517.0,0.0,0.0
8466b4bffffffff,87.0,0.0,0.0
8466b4dffffffff,100.0,0.0,0.0
8466b51ffffffff,17.0,0.0,0.0
8466b53ffffffff,9.0,0.0,0.0
8466b55ffffffff,769.0,0.0,0.0
8466b57ffffffff,72.0,0.0,0.0
8466b59ffffffff,199.0,0.0,0.0
8466b5bffffffff,114.0,0.0,0.0
8466b5dffffffff,31.0,0.0,0.0
8466b69ffffffff,53.0,0.0,0.0
8466d01ffffffff,49.0,0.0,0.0
8466d03ffffffff,3.0,0.0,0.0
8466d05ffffffff,10.0,0.0,0.0
8466d07ffffffff,211.0,0.0,30.0
8466d0bffffffff,15.0,0.0,0.0
8466d0dffffffff,181.0,0.0,3.0
8466d21ffffffff,3.0,0.0,0.0
8466d23ffffffff,191.0,0.0,11.0
8466d25ffffffff,6.0,0.0,0.0
8466d27ffffffff,51.0,0.0,10.0
8466d31ffffffff,551.0,0.0,36.0
8466d35ffffffff,1334.0,0.0,102.0
8466d37ffffffff,65.0,0.0,2.0
8466d3dffffffff,24.0,0.0,0.0
8466d4bffffffff,7.0,0.0,0.0
8466d51ffffffff,3.0,0.0,0.0
8466d55ffffffff,63.0,0.0,0.0
8466e49ffffffff,4.0,0.0,0.0
8466e6dffffffff,3.0,0.0,0.0
8466f01ffffffff,70.0,0.0,0.0
8466f03ffffffff,477.0,0.0,5.0
8466f0bffffffff,996.0,0.0,25.0
8466f1dffffffff,6.0,0.0,0.0
8466f35ffffffff,156.0,0.0,7.0
8466f57ffffffff,20.0,0.0,0.0
8467931ffffffff,1.0,0.0,0.0
846793bffffffff,5.0,0.0,0.0
8467945ffffffff,3.0,0.0,0.0
8467961ffffffff,5.0,0.0,0.0
8467969ffffffff,3.0,0.0,0.0
84679a1ffffffff,303.0,0.0,0.0
84679a3ffffffff,130.0,0.0,0.0
84679a5ffffffff,1664.0,0.0,0.0
84679a7ffffffff,510.0,0.0,0.0
84679adffffffff,70.0,0.0,0.0
84679b3ffffffff,70.0,0.0,0.0
84679b5ffffffff,167.0,0.0,0.0
84679b7ffffffff,1116.0,0.0,0.0
846d681ffffffff,53.0,0.0,0.0
846d689ffffffff,73.0,0.0,0.0
846d68bffffffff,566.0,0.0,0.0
846d68dffffffff,48.0,0.0,0.0
846d691ffffffff,58.0,0.0,0.0
846d693ffffffff,298.0,0.0,0.0
846d697ffffffff,4466.0,0.0,0.0
846d699ffffffff,499.0,0.0,0.0
846d69bffffffff,843.0,0.0,0.0
846d69dffffffff,385.0,0.0,0.0
846d6d1ffffffff,30.0,0.0,0.0
846d6d3ffffffff,174.0,0.0,0.0
846d6d5ffffffff,8.0,0.0,0.0
846d6d7ffffffff,29.0,0.0,0.0
846d6dbffffffff,9.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f0dbffffffff,484.0,0.0,0.0
848f295ffffffff,75.0,0.0,0.0
848f297ffffffff,1.0,0.0,0.0
848f2b3ffffffff,2.0,0.0,0.0
848f2b9ffffffff,4.0,0.0,0.0
848f2bbffffffff,42.0,0.0,0.0
848f2c1ffffffff,1.0,0.0,0.0
848f2c3ffffffff,26.0,0.0,0.0
848f2c9ffffffff,9.0,0.0,0.0
848f2cbffffffff,38.0,0.0,0.0
848f2cdffffffff,208.0,0.0,0.0
848f2d5ffffffff,2.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0
