cell_id,Sialia sialis,Sialia sialis sialis/bermudensis,Sialia sialis [guatemalae Group]
830e48fffffffff,1.0,0.0,0.0
830e49fffffffff,60.0,0.0,0.0
830e4dfffffffff,38.0,0.0,0.0
830e5bfffffffff,4.0,0.0,0.0
830ec8fffffffff,2.0,0.0,0.0
830ec9fffffffff,24.0,0.0,0.0
830ecafffffffff,6.0,0.0,0.0
830ecbfffffffff,18.0,0.0,0.0
830edbfffffffff,2.0,0.0,0.0
830eebfffffffff,2.0,0.0,0.0
831259fffffffff,3.0,0.0,0.0
832600fffffffff,40.0,0.0,0.0
832601fffffffff,511.0,94.0,0.0
832602fffffffff,52.0,0.0,0.0
832603fffffffff,174.0,17.0,0.0
832604fffffffff,26.0,0.0,0.0
832605fffffffff,192.0,0.0,0.0
832606fffffffff,21.0,0.0,0.0
832608fffffffff,435.0,7.0,0.0
832609fffffffff,377.0,0.0,0.0
83260afffffffff,945.0,2.0,0.0
83260bfffffffff,1527.0,1.0,0.0
83260cfffffffff,46.0,0.0,0.0
83260dfffffffff,1071.0,0.0,0.0
83260efffffffff,506.0,77.0,0.0
832610fffffffff,73.0,0.0,0.0
832611fffffffff,145.0,4.0,0.0
832612fffffffff,158.0,1.0,0.0
832613fffffffff,6.0,0.0,0.0
832614fffffffff,8.0,0.0,0.0
832615fffffffff,48.0,0.0,0.0
832616fffffffff,39.0,0.0,0.0
832618fffffffff,92.0,0.0,0.0
832619fffffffff,52.0,0.0,0.0
83261afffffffff,42.0,2.0,0.0
83261bfffffffff,148.0,0.0,0.0
83261cfffffffff,49.0,0.0,0.0
83261dfffffffff,20.0,0.0,0.0
83261efffffffff,34.0,0.0,0.0
832620fffffffff,838.0,0.0,0.0
832621fffffffff,1908.0,0.0,0.0
832622fffffffff,83.0,0.0,0.0
832623fffffffff,212.0,0.0,0.0
832624fffffffff,815.0,0.0,0.0
832625fffffffff,876.0,0.0,0.0
832626fffffffff,1172.0,0.0,0.0
832628fffffffff,146.0,0.0,0.0
832629fffffffff,316.0,0.0,0.0
83262afffffffff,2.0,0.0,0.0
83262bfffffffff,617.0,0.0,0.0
83262cfffffffff,4651.0,0.0,0.0
83262dfffffffff,817.0,0.0,0.0
83262efffffffff,167.0,0.0,0.0
832630fffffffff,29.0,0.0,0.0
832631fffffffff,12.0,0.0,0.0
832633fffffffff,41.0,0.0,0.0
832634fffffffff,128.0,0.0,0.0
832635fffffffff,80.0,0.0,0.0
832636fffffffff,105.0,0.0,0.0
832640fffffffff,1519.0,0.0,0.0
832641fffffffff,2552.0,0.0,0.0
832642fffffffff,2370.0,0.0,0.0
832643fffffffff,3388.0,0.0,0.0
832644fffffffff,243.0,0.0,0.0
832645fffffffff,384.0,0.0,0.0
832646fffffffff,5115.0,0.0,0.0
832648fffffffff,2491.0,0.0,0.0
832649fffffffff,4146.0,0.0,0.0
83264afffffffff,5038.0,0.0,0.0
83264bfffffffff,1571.0,0.0,0.0
83264cfffffffff,4600.0,0.0,0.0
83264dfffffffff,7448.0,0.0,0.0
83264efffffffff,1358.0,0.0,0.0
832650fffffffff,1885.0,0.0,0.0
832651fffffffff,1660.0,0.0,0.0
832652fffffffff,3238.0,0.0,0.0
832653fffffffff,6043.0,0.0,0.0
832654fffffffff,1708.0,0.0,0.0
832655fffffffff,9008.0,0.0,0.0
832656fffffffff,8091.0,0.0,0.0
832658fffffffff,467.0,0.0,0.0
832659fffffffff,3861.0,0.0,0.0
83265afffffffff,2084.0,0.0,0.0
83265bfffffffff,3096.0,0.0,0.0
83265cfffffffff,795.0,0.0,0.0
83265dfffffffff,1214.0,0.0,0.0
83265efffffffff,1119.0,0.0,0.0
832660fffffffff,691.0,8.0,0.0
832661fffffffff,5110.0,119.0,0.0
832662fffffffff,1673.0,0.0,0.0
832663fffffffff,1208.0,6.0,0.0
832664fffffffff,8640.0,2.0,0.0
832665fffffffff,1312.0,25.0,0.0
832666fffffffff,3484.0,0.0,0.0
832668fffffffff,2644.0,62.0,0.0
832669fffffffff,797.0,0.0,0.0
83266afffffffff,1702.0,5.0,0.0
83266bfffffffff,2174.0,0.0,0.0
83266cfffffffff,3926.0,147.0,0.0
83266dfffffffff,3348.0,0.0,0.0
83266efffffffff,1810.0,67.0,0.0
832670fffffffff,486.0,0.0,0.0
832671fffffffff,602.0,0.0,0.0
832672fffffffff,412.0,0.0,0.0
832673fffffffff,758.0,0.0,0.0
832674fffffffff,918.0,0.0,0.0
832675fffffffff,581.0,0.0,0.0
832676fffffffff,239.0,0.0,0.0
832681fffffffff,126.0,0.0,0.0
832684fffffffff,2.0,0.0,0.0
832685fffffffff,14.0,0.0,0.0
832688fffffffff,254.0,0.0,0.0
832689fffffffff,95.0,0.0,0.0
83268bfffffffff,14.0,0.0,0.0
83268cfffffffff,37.0,0.0,0.0
83268dfffffffff,41.0,0.0,0.0
83268efffffffff,6.0,0.0,0.0
8326a1fffffffff,59.0,0.0,0.0
8326a3fffffffff,2.0,0.0,0.0
8326a4fffffffff,7.0,0.0,0.0
8326a5fffffffff,172.0,0.0,0.0
8326a8fffffffff,316.0,0.0,0.0
8326a9fffffffff,388.0,0.0,0.0
8326aafffffffff,158.0,0.0,0.0
8326abfffffffff,207.0,0.0,0.0
8326acfffffffff,30.0,0.0,0.0
8326adfffffffff,107.0,0.0,0.0
8326aefffffffff,92.0,0.0,0.0
8326c0fffffffff,115.0,0.0,0.0
8326c1fffffffff,2276.0,0.0,0.0
8326c2fffffffff,168.0,0.0,0.0
8326c3fffffffff,531.0,0.0,0.0
8326c4fffffffff,469.0,0.0,0.0
8326c5fffffffff,1363.0,0.0,0.0
8326c6fffffffff,73.0,0.0,0.0
8326c8fffffffff,8524.0,0.0,0.0
8326c9fffffffff,2192.0,0.0,0.0
8326cafffffffff,2366.0,0.0,0.0
8326cbfffffffff,4020.0,0.0,0.0
8326ccfffffffff,235.0,0.0,0.0
8326cdfffffffff,896.0,0.0,0.0
8326cefffffffff,309.0,0.0,0.0
8326d0fffffffff,31.0,0.0,0.0
8326d1fffffffff,145.0,0.0,0.0
8326d2fffffffff,28.0,0.0,0.0
8326d3fffffffff,13.0,0.0,0.0
8326d4fffffffff,169.0,0.0,0.0
8326d5fffffffff,75.0,0.0,0.0
8326d6fffffffff,20.0,0.0,0.0
8326d8fffffffff,113.0,0.0,0.0
8326d9fffffffff,773.0,0.0,0.0
8326dafffffffff,18.0,0.0,0.0
8326dbfffffffff,461.0,0.0,0.0
8326dcfffffffff,127.0,0.0,0.0
8326ddfffffffff,493.0,0.0,0.0
8326defffffffff,146.0,0.0,0.0
8326e0fffffffff,981.0,0.0,0.0
8326e1fffffffff,731.0,0.0,0.0
8326e2fffffffff,1180.0,0.0,0.0
8326e3fffffffff,843.0,0.0,0.0
8326e4fffffffff,2258.0,0.0,0.0
8326e5fffffffff,6631.0,0.0,0.0
8326e6fffffffff,706.0,0.0,0.0
8326e8fffffffff,590.0,0.0,0.0
8326e9fffffffff,844.0,0.0,0.0
8326eafffffffff,380.0,0.0,0.0
8326ebfffffffff,137.0,0.0,0.0
8326ecfffffffff,2200.0,0.0,0.0
8326edfffffffff,3650.0,0.0,0.0
8326eefffffffff,1012.0,0.0,0.0
8326f0fffffffff,141.0,0.0,0.0
8326f1fffffffff,356.0,0.0,0.0
8326f2fffffffff,148.0,0.0,0.0
8326f3fffffffff,86.0,0.0,0.0
8326f4fffffffff,20.0,0.0,0.0
8326f5fffffffff,66.0,0.0,0.0
8326f6fffffffff,260.0,0.0,0.0
832700fffffffff,26.0,0.0,0.0
