cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
830122fffffffff,6.0,0.0,0.0,0.0
830123fffffffff,16.0,0.0,0.0,0.0
830125fffffffff,3.0,0.0,0.0,0.0
830130fffffffff,324.0,46.0,0.0,0.0
830131fffffffff,90.0,12.0,0.0,0.0
830134fffffffff,3.0,0.0,0.0,0.0
830135fffffffff,110.0,17.0,0.0,0.0
830741fffffffff,20.0,6.0,0.0,0.0
830742fffffffff,10.0,2.0,0.0,0.0
830743fffffffff,35.0,0.0,0.0,0.0
83074efffffffff,31.0,16.0,0.0,0.0
830751fffffffff,18.0,4.0,0.0,0.0
830753fffffffff,8.0,0.0,0.0,0.0
830755fffffffff,4.0,4.0,0.0,0.0
830758fffffffff,321.0,49.0,0.0,0.0
83075cfffffffff,157.0,39.0,0.0,0.0
83075dfffffffff,427.0,114.0,0.0,0.0
83075efffffffff,288.0,77.0,0.0,0.0
830800fffffffff,4.0,0.0,0.0,0.0
830803fffffffff,1.0,0.0,0.0,0.0
830805fffffffff,8.0,0.0,0.0,0.0
830806fffffffff,11.0,0.0,0.0,0.0
830828fffffffff,2.0,2.0,0.0,0.0
830829fffffffff,3.0,0.0,0.0,0.0
83082dfffffffff,5.0,0.0,0.0,0.0
830830fffffffff,1.0,0.0,0.0,0.0
830832fffffffff,2.0,0.0,0.0,0.0
830836fffffffff,84.0,1.0,0.0,0.0
8308edfffffffff,25.0,0.0,0.0,0.0
83094afffffffff,8.0,0.0,0.0,0.0
83094bfffffffff,6.0,0.0,0.0,0.0
830958fffffffff,9.0,0.0,0.0,0.0
830959fffffffff,18.0,3.0,0.0,0.0
83095afffffffff,30.0,1.0,0.0,0.0
830980fffffffff,62.0,0.0,0.0,0.0
830981fffffffff,12.0,2.0,0.0,0.0
830982fffffffff,98.0,0.0,0.0,0.0
830983fffffffff,1.0,0.0,0.0,0.0
83098bfffffffff,2.0,0.0,0.0,0.0
83098cfffffffff,3.0,3.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0,0.0
83098efffffffff,2.0,0.0,0.0,0.0
830991fffffffff,337.0,0.0,0.0,0.0
830998fffffffff,18.0,0.0,0.0,0.0
83099afffffffff,2.0,0.0,0.0,0.0
83099bfffffffff,11.0,0.0,0.0,0.0
83099efffffffff,15.0,0.0,0.0,0.0
8309a0fffffffff,138.0,5.0,0.0,0.0
8309a4fffffffff,271.0,23.0,0.0,0.0
8309a5fffffffff,25.0,5.0,0.0,0.0
8309a6fffffffff,195.0,26.0,0.0,0.0
8309abfffffffff,1.0,0.0,0.0,0.0
831801fffffffff,162.0,6.0,0.0,0.0
831804fffffffff,8.0,0.0,0.0,0.0
831805fffffffff,416.0,117.0,0.0,0.0
83180cfffffffff,90.0,9.0,0.0,0.0
831820fffffffff,28.0,2.0,0.0,0.0
831821fffffffff,3.0,0.0,0.0,0.0
831823fffffffff,143.0,20.0,0.0,0.0
831824fffffffff,7.0,0.0,0.0,0.0
831825fffffffff,63.0,9.0,0.0,0.0
831828fffffffff,108.0,16.0,0.0,0.0
