cell_id,Melanochlora sultanea,Melanochlora sultanea [sultanea Group],Melanochlora sultanea gayeti
843c065ffffffff,3.0,0.0,0.0
843c0a5ffffffff,124.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0
843c0adffffffff,43.0,0.0,0.0
843c0b7ffffffff,15.0,4.0,0.0
843c159ffffffff,1.0,0.0,0.0
843c199ffffffff,317.0,0.0,0.0
843c19bffffffff,30.0,0.0,0.0
843c1d3ffffffff,15.0,0.0,0.0
843c1dbffffffff,8.0,0.0,0.0
843c525ffffffff,8.0,0.0,0.0
843c527ffffffff,303.0,0.0,0.0
843c533ffffffff,2.0,0.0,0.0
843c537ffffffff,3.0,0.0,0.0
843c581ffffffff,225.0,0.0,0.0
843c583ffffffff,7.0,0.0,0.0
843c585ffffffff,1.0,0.0,0.0
843c587ffffffff,32.0,0.0,0.0
843c589ffffffff,7.0,0.0,0.0
843c595ffffffff,4.0,0.0,0.0
843c5a1ffffffff,660.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0
843c5a9ffffffff,17.0,0.0,0.0
843c5abffffffff,10.0,0.0,0.0
843c5adffffffff,67.0,0.0,0.0
843c5b7ffffffff,6.0,0.0,0.0
843c5bdffffffff,306.0,0.0,0.0
843c5c1ffffffff,8.0,0.0,0.0
843c5c5ffffffff,3.0,0.0,0.0
843c5c7ffffffff,5.0,0.0,0.0
843c5e3ffffffff,1.0,0.0,0.0
843c5e5ffffffff,1.0,0.0,0.0
843cc0bffffffff,23.0,0.0,0.0
843ccb5ffffffff,1.0,0.0,0.0
843ce15ffffffff,59.0,0.0,0.0
843ce41ffffffff,4.0,0.0,0.0
843ce43ffffffff,11.0,0.0,0.0
843ce4bffffffff,39.0,8.0,0.0
843ce4dffffffff,64.0,2.0,0.0
843ce51ffffffff,28.0,2.0,0.0
843ce53ffffffff,9.0,1.0,0.0
843ce55ffffffff,153.0,1.0,0.0
843ce57ffffffff,26.0,0.0,0.0
843ce59ffffffff,10.0,0.0,0.0
843ce5bffffffff,44.0,0.0,0.0
843ce5dffffffff,141.0,14.0,0.0
843ceb3ffffffff,2.0,0.0,0.0
843cec9ffffffff,196.0,0.0,0.0
8440499ffffffff,2.0,0.0,0.0
84404b7ffffffff,1.0,0.0,0.0
84404ddffffffff,55.0,0.0,0.0
84404e7ffffffff,2.0,0.0,0.0
844061bffffffff,1.0,0.0,0.0
8440651ffffffff,5.0,0.0,0.0
8440653ffffffff,4.0,0.0,0.0
84406b7ffffffff,5.0,0.0,0.0
8441433ffffffff,75.0,10.0,0.0
844143bffffffff,37.0,0.0,0.0
8441517ffffffff,6.0,0.0,0.0
8441585ffffffff,3.0,1.0,0.0
84415c3ffffffff,35.0,5.0,0.0
84415edffffffff,29.0,1.0,0.0
8441611ffffffff,2.0,2.0,0.0
8441617ffffffff,3.0,3.0,0.0
8441655ffffffff,54.0,0.0,16.0
8441657ffffffff,1.0,0.0,1.0
84416a3ffffffff,1.0,0.0,0.0
84416bdffffffff,2.0,0.0,0.0
84416e1ffffffff,28.0,6.0,2.0
84416e5ffffffff,18.0,8.0,0.0
84416edffffffff,21.0,3.0,0.0
8441703ffffffff,2.0,0.0,0.0
8441715ffffffff,2.0,0.0,0.0
8441719ffffffff,154.0,27.0,0.0
844184bffffffff,6.0,0.0,0.0
8441855ffffffff,12.0,0.0,0.0
8441859ffffffff,8.0,0.0,0.0
8441a37ffffffff,2.0,0.0,0.0
846414dffffffff,3.0,0.0,0.0
8464161ffffffff,5.0,0.0,0.0
8464165ffffffff,4.0,2.0,0.0
846416dffffffff,900.0,202.0,0.0
8464319ffffffff,4.0,0.0,0.0
846433dffffffff,2.0,0.0,0.0
