cell_id,Caprimulgus affinis,Caprimulgus affinis [monticolus Group],Caprimulgus affinis [affinis Group]
82309ffffffffff,2.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c1ffffffffff,1.0,0.0,0.0
823c87fffffffff,7.0,0.0,0.0
823c8ffffffffff,12.0,0.0,0.0
823caffffffffff,73.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0
823ce7fffffffff,14.0,0.0,0.0
823cf7fffffffff,5.0,0.0,0.0
823d17fffffffff,9.0,0.0,0.0
823d37fffffffff,17.0,0.0,0.0
823d87fffffffff,21.0,0.0,0.0
823d97fffffffff,6.0,0.0,0.0
823d9ffffffffff,86.0,0.0,0.0
823da7fffffffff,72.0,0.0,0.0
823daffffffffff,6.0,0.0,0.0
823db7fffffffff,48.0,0.0,0.0
82411ffffffffff,3.0,0.0,0.0
8241a7fffffffff,3.0,0.0,0.0
82425ffffffffff,6.0,0.0,0.0
82426ffffffffff,4.0,0.0,0.0
8242c7fffffffff,30.0,0.0,0.0
8242cffffffffff,8.0,0.0,0.0
8242dffffffffff,3.0,0.0,0.0
824b87fffffffff,7.0,0.0,0.0
824ba7fffffffff,14.0,0.0,0.0
824bb7fffffffff,14.0,0.0,0.0
826007fffffffff,45.0,0.0,0.0
826017fffffffff,76.0,0.0,0.0
826037fffffffff,95.0,0.0,0.0
826087fffffffff,5.0,0.0,0.0
82608ffffffffff,16.0,0.0,0.0
826097fffffffff,17.0,0.0,0.0
82609ffffffffff,20.0,0.0,0.0
8260a7fffffffff,131.0,0.0,0.0
8260affffffffff,25.0,0.0,0.0
8260b7fffffffff,20.0,0.0,0.0
82618ffffffffff,15.0,0.0,0.0
8264a7fffffffff,6.0,0.0,0.0
826507fffffffff,14.0,0.0,0.0
82651ffffffffff,27.0,0.0,0.0
826527fffffffff,17.0,0.0,0.0
8268d7fffffffff,2.0,0.0,0.0
828caffffffffff,2.0,0.0,0.0
828d8ffffffffff,2.0,0.0,0.0
