cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
8454f1bffffffff,1.0,1.0,0.0
8454f6bffffffff,1.0,1.0,0.0
846acadffffffff,2.0,2.0,0.0
846ad8bffffffff,2.0,1.0,0.0
846ad9dffffffff,2.0,2.0,0.0
847a4d1ffffffff,2.0,2.0,0.0
847a66dffffffff,2.0,0.0,0.0
8482a09ffffffff,6.0,0.0,0.0
84972e3ffffffff,1.0,0.0,1.0
84ad329ffffffff,3.0,0.0,2.0
84ad825ffffffff,2.0,0.0,0.0
84ada8dffffffff,2.0,0.0,0.0
84bc455ffffffff,2.0,0.0,0.0
84bc687ffffffff,7.0,0.0,0.0
84bc6a3ffffffff,5.0,0.0,0.0
84bc6bdffffffff,2.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd25ffffffff,2.0,0.0,2.0
84bcd27ffffffff,4.0,0.0,4.0
84bcd29ffffffff,2.0,0.0,2.0
84bcf29ffffffff,6.0,0.0,0.0
