cell_id,Patagioenas subvinacea,Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea [purpureotincta Group]
825f4ffffffffff,1.0,0.0,0.0
82660ffffffffff,10.0,0.0,0.0
826617fffffffff,4.0,0.0,0.0
82661ffffffffff,12.0,9.0,0.0
8266a7fffffffff,10.0,0.0,0.0
8266b7fffffffff,23.0,10.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266d7fffffffff,2.0,2.0,0.0
8266dffffffffff,6.0,0.0,0.0
8266effffffffff,1.0,0.0,0.0
82674ffffffffff,29.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,12.0,0.0,0.0
826d6ffffffffff,34.0,6.0,0.0
828a37fffffffff,1.0,0.0,1.0
828b37fffffffff,1.0,0.0,0.0
828b67fffffffff,21.0,0.0,21.0
828b77fffffffff,1.0,0.0,0.0
828f0ffffffffff,4.0,3.0,0.0
828f2ffffffffff,1.0,0.0,0.0
828f47fffffffff,3.0,0.0,3.0
828f77fffffffff,1.0,0.0,1.0
