cell_id,Symposiachrus trivirgatus,Symposiachrus trivirgatus [trivirgatus Group],Symposiachrus trivirgatus gouldii/melanorrhous
839404fffffffff,3.0,0.0,0.0
839421fffffffff,3.0,2.0,0.0
839423fffffffff,6.0,1.0,0.0
839428fffffffff,2.0,2.0,0.0
83942cfffffffff,18.0,7.0,0.0
83942dfffffffff,33.0,27.0,0.0
83951afffffffff,5.0,3.0,0.0
839552fffffffff,1.0,1.0,0.0
839553fffffffff,19.0,3.0,0.0
839558fffffffff,14.0,2.0,0.0
8395a9fffffffff,40.0,29.0,0.0
8395adfffffffff,3.0,3.0,0.0
839c00fffffffff,45.0,2.0,0.0
839c01fffffffff,3.0,0.0,0.0
839c05fffffffff,464.0,12.0,23.0
839c0afffffffff,2.0,0.0,0.0
839c0efffffffff,2.0,0.0,0.0
839c19fffffffff,565.0,67.0,2.0
839c20fffffffff,172.0,7.0,2.0
839c21fffffffff,135.0,4.0,2.0
839c23fffffffff,4063.0,47.0,188.0
839c25fffffffff,131.0,2.0,2.0
839cc2fffffffff,1.0,0.0,0.0
839cd3fffffffff,1.0,0.0,0.0
839cf3fffffffff,5.0,0.0,0.0
839cf5fffffffff,44.0,9.0,0.0
839d01fffffffff,63.0,1.0,5.0
839d0afffffffff,1.0,0.0,0.0
839d0bfffffffff,56.0,0.0,1.0
839d0cfffffffff,143.0,0.0,3.0
839d0efffffffff,26.0,0.0,1.0
839d21fffffffff,66.0,0.0,0.0
839d23fffffffff,20.0,0.0,3.0
839d24fffffffff,10.0,0.0,0.0
839d25fffffffff,11.0,0.0,0.0
839d2afffffffff,4.0,0.0,0.0
83be0efffffffff,3.0,0.0,0.0
83be18fffffffff,161.0,0.0,14.0
83be19fffffffff,49.0,0.0,15.0
83be1afffffffff,71.0,0.0,5.0
83be1bfffffffff,2.0,0.0,0.0
83be1dfffffffff,23.0,0.0,6.0
83be88fffffffff,320.0,0.0,20.0
83be89fffffffff,109.0,0.0,14.0
83be8afffffffff,1.0,0.0,1.0
83be8bfffffffff,32.0,0.0,4.0
83be8dfffffffff,1558.0,0.0,106.0
83bea9fffffffff,62.0,0.0,2.0
83beabfffffffff,374.0,0.0,6.0
83bef0fffffffff,3.0,0.0,0.0
83bef2fffffffff,78.0,0.0,2.0
83bef6fffffffff,333.0,0.0,29.0
