cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
848b201ffffffff,13.0,0.0,0.0
848b203ffffffff,66.0,0.0,0.0
848b205ffffffff,9.0,0.0,0.0
848b20bffffffff,13.0,0.0,0.0
848b20dffffffff,21.0,0.0,0.0
848b211ffffffff,36.0,0.0,0.0
848b21bffffffff,7.0,0.0,0.0
848b21dffffffff,10.0,0.0,0.0
848b221ffffffff,1.0,0.0,0.0
848b241ffffffff,8.0,0.0,0.0
848b243ffffffff,2.0,0.0,0.0
848b247ffffffff,12.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,8.0,0.0,0.0
848b251ffffffff,18.0,0.0,0.0
848b255ffffffff,1.0,0.0,0.0
848b257ffffffff,2.0,0.0,0.0
848b259ffffffff,77.0,0.0,0.0
848b25dffffffff,19.0,0.0,0.0
848b269ffffffff,4.0,0.0,0.0
848b2c1ffffffff,3.0,0.0,0.0
848b2c9ffffffff,170.0,0.0,0.0
848b2cdffffffff,27.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
848b2dbffffffff,1.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b369ffffffff,1.0,0.0,0.0
848b603ffffffff,3.0,0.0,0.0
848b611ffffffff,60.0,0.0,4.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,83.0,0.0,5.0
848b619ffffffff,4.0,0.0,0.0
848b61bffffffff,6.0,0.0,0.0
848b61dffffffff,4.0,0.0,0.0
848b653ffffffff,2.0,0.0,0.0
848b665ffffffff,11.0,0.0,0.0
848b6c9ffffffff,48.0,0.0,1.0
848b6cbffffffff,2.0,0.0,0.0
848b6cdffffffff,366.0,0.0,11.0
848b75bffffffff,35.0,0.0,0.0
848e60bffffffff,1.0,0.0,0.0
848e613ffffffff,2.0,0.0,0.0
848e61dffffffff,8.0,0.0,0.0
848e645ffffffff,2.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0
848e64bffffffff,3.0,0.0,0.0
848e651ffffffff,1.0,0.0,0.0
848e657ffffffff,48.0,0.0,0.0
