cell_id,Ceyx melanurus,Ceyx melanurus melanurus,Ceyx melanurus samarensis,Ceyx melanurus mindanensis
826847fffffffff,13.0,0.0,0.0,6.0
82684ffffffffff,32.0,0.0,0.0,4.0
826857fffffffff,6.0,0.0,0.0,1.0
82685ffffffffff,15.0,0.0,0.0,6.0
826867fffffffff,1.0,0.0,1.0,0.0
826947fffffffff,2.0,0.0,0.0,0.0
82694ffffffffff,34.0,2.0,0.0,0.0
82696ffffffffff,5.0,0.0,0.0,0.0
