cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
83450afffffffff,1.0,1.0,0.0
83450cfffffffff,1.0,0.0,0.0
834520fffffffff,2.0,2.0,0.0
834521fffffffff,15.0,11.0,0.0
834522fffffffff,9.0,0.0,0.0
834526fffffffff,19.0,2.0,0.0
83452afffffffff,17.0,16.0,0.0
83452cfffffffff,4.0,4.0,0.0
83452efffffffff,22.0,20.0,0.0
836608fffffffff,5.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
836610fffffffff,11.0,6.0,0.0
836613fffffffff,5.0,0.0,0.0
836616fffffffff,25.0,11.0,0.0
836619fffffffff,6.0,0.0,0.0
83661afffffffff,13.0,13.0,0.0
836629fffffffff,5.0,2.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366a5fffffffff,6.0,0.0,0.0
8366a6fffffffff,1.0,0.0,0.0
8366b0fffffffff,7.0,6.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,31.0,12.0,0.0
8366b5fffffffff,31.0,9.0,0.0
8366d3fffffffff,15.0,10.0,0.0
8366d5fffffffff,5.0,0.0,0.0
8366e4fffffffff,21.0,6.0,0.0
8366e6fffffffff,8.0,1.0,0.0
8366f0fffffffff,1.0,0.0,0.0
8366f1fffffffff,4.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0
83675afffffffff,5.0,0.0,0.0
83679afffffffff,12.0,2.0,0.0
83679bfffffffff,2.0,1.0,0.0
836d20fffffffff,6.0,4.0,0.0
836d21fffffffff,11.0,1.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d2dfffffffff,12.0,10.0,0.0
836d30fffffffff,2.0,2.0,0.0
836d31fffffffff,1.0,1.0,0.0
836d35fffffffff,1.0,1.0,0.0
836d36fffffffff,1.0,0.0,0.0
836d61fffffffff,7.0,0.0,0.0
836d64fffffffff,2.0,0.0,0.0
836d68fffffffff,6.0,0.0,0.0
836d69fffffffff,47.0,23.0,0.0
836d6bfffffffff,2.0,0.0,0.0
836d6dfffffffff,4.0,0.0,0.0
836d6efffffffff,7.0,0.0,0.0
838f0dfffffffff,23.0,7.0,0.0
