cell_id,Symposiachrus bimaculatus,Symposiachrus bimaculatus bimaculatus,Symposiachrus bimaculatus diadematus,Symposiachrus bimaculatus nigrimentum
837390fffffffff,214.0,122.0,0.0,0.0
837392fffffffff,8.0,4.0,0.0,0.0
837395fffffffff,8.0,5.0,0.0,0.0
839541fffffffff,5.0,0.0,0.0,5.0
839561fffffffff,77.0,0.0,55.0,0.0
83956afffffffff,86.0,0.0,0.0,86.0
83956bfffffffff,31.0,0.0,0.0,31.0
83956cfffffffff,10.0,0.0,10.0,0.0
