cell_id,Spilornis cheela,Spilornis cheela [cheela Group],Spilornis cheela davisoni,Spilornis cheela minimus,Spilornis cheela perplexus,Spilornis cheela natunensis,Spilornis cheela abbotti,Spilornis cheela asturinus,Spilornis cheela sipora,Spilornis cheela baweanus
83309afffffffff,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309bfffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c02fffffffff,246.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0bfffffffff,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c15fffffffff,228.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c19fffffffff,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c1bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c1cfffffffff,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c1dfffffffff,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c30fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c31fffffffff,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c32fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c33fffffffff,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c34fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c36fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c52fffffffff,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c53fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c58fffffffff,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c5afffffffff,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c5bfffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c5cfffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c5dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c5efffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c80fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
