cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
834424fffffffff,58.0,0.0,0.0
834501fffffffff,330.0,4.0,0.0
834505fffffffff,25.0,0.0,0.0
834508fffffffff,1203.0,134.0,0.0
834509fffffffff,2393.0,996.0,0.0
83450afffffffff,1915.0,111.0,0.0
83450bfffffffff,1028.0,116.0,0.0
83450cfffffffff,190.0,14.0,0.0
83450dfffffffff,702.0,291.0,0.0
83450efffffffff,1086.0,39.0,0.0
834519fffffffff,3.0,0.0,0.0
834520fffffffff,253.0,0.0,0.0
834521fffffffff,44.0,2.0,0.0
834522fffffffff,29.0,0.0,0.0
834523fffffffff,32.0,0.0,0.0
834524fffffffff,42.0,0.0,0.0
834525fffffffff,32.0,0.0,0.0
834526fffffffff,594.0,0.0,0.0
834528fffffffff,330.0,18.0,0.0
834529fffffffff,54.0,3.0,0.0
83452afffffffff,785.0,49.0,0.0
83452bfffffffff,452.0,40.0,0.0
83452cfffffffff,717.0,20.0,0.0
83452dfffffffff,55.0,7.0,0.0
83452efffffffff,3207.0,137.0,0.0
834535fffffffff,10.0,0.0,0.0
834564fffffffff,6.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0
834572fffffffff,389.0,103.0,0.0
834574fffffffff,2.0,0.0,0.0
834576fffffffff,69.0,3.0,0.0
834836fffffffff,1364.0,22.0,0.0
834880fffffffff,2524.0,71.0,0.0
834881fffffffff,39.0,2.0,0.0
834882fffffffff,2234.0,63.0,0.0
834883fffffffff,887.0,45.0,0.0
834884fffffffff,103.0,10.0,0.0
834885fffffffff,13.0,0.0,0.0
834886fffffffff,1919.0,89.0,0.0
83488efffffffff,46.0,0.0,0.0
834890fffffffff,30.0,1.0,0.0
834891fffffffff,747.0,28.0,0.0
834895fffffffff,4543.0,152.0,0.0
83489cfffffffff,36.0,0.0,0.0
8348a0fffffffff,87.0,0.0,0.0
8348a2fffffffff,2977.0,213.0,0.0
8348a6fffffffff,6.0,0.0,0.0
8348b0fffffffff,1.0,0.0,0.0
8348b1fffffffff,8999.0,425.0,0.0
8348b2fffffffff,4127.0,201.0,0.0
8348b3fffffffff,44754.0,2158.0,0.0
8348b4fffffffff,4.0,0.0,0.0
8348b5fffffffff,189.0,17.0,0.0
834980fffffffff,1.0,0.0,0.0
834990fffffffff,7.0,1.0,0.0
834991fffffffff,30.0,0.0,0.0
