cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
83074efffffffff,3.0,0.0,0.0
830755fffffffff,2.0,0.0,0.0
83075dfffffffff,3.0,0.0,0.0
831846fffffffff,1.0,0.0,0.0
831849fffffffff,4.0,1.0,0.0
83184bfffffffff,1.0,0.0,0.0
831855fffffffff,1.0,0.0,0.0
831859fffffffff,1.0,0.0,0.0
83185bfffffffff,11.0,0.0,0.0
831864fffffffff,1.0,0.0,0.0
83186afffffffff,1.0,0.0,0.0
831870fffffffff,3.0,0.0,0.0
831876fffffffff,4.0,0.0,0.0
83190cfffffffff,2.0,0.0,0.0
831926fffffffff,2.0,0.0,0.0
83192cfffffffff,2.0,0.0,0.0
831940fffffffff,2.0,1.0,0.0
831941fffffffff,3.0,0.0,0.0
831943fffffffff,1.0,0.0,0.0
831946fffffffff,1.0,1.0,0.0
831948fffffffff,6.0,2.0,0.0
83194cfffffffff,1.0,0.0,0.0
83194dfffffffff,3.0,0.0,0.0
831951fffffffff,1.0,0.0,0.0
831958fffffffff,1.0,0.0,0.0
83196bfffffffff,1.0,0.0,0.0
831972fffffffff,1.0,0.0,0.0
831973fffffffff,2.0,0.0,0.0
831e92fffffffff,1.0,0.0,0.0
831ecafffffffff,1.0,0.0,0.0
831ed9fffffffff,6.0,0.0,0.0
831edafffffffff,3.0,0.0,0.0
831f2efffffffff,4.0,0.0,0.0
831f9bfffffffff,3.0,0.0,0.0
832ac6fffffffff,68.0,0.0,0.0
832af1fffffffff,3.0,0.0,0.0
832af4fffffffff,5.0,0.0,0.0
833464fffffffff,3.0,0.0,0.0
833466fffffffff,2.0,0.0,0.0
833825fffffffff,3.0,0.0,0.0
833865fffffffff,1.0,0.0,0.0
833901fffffffff,9.0,0.0,0.0
833910fffffffff,46.0,0.0,0.0
833911fffffffff,22.0,0.0,0.0
833913fffffffff,10.0,0.0,0.0
833914fffffffff,12.0,0.0,0.0
833915fffffffff,2.0,0.0,0.0
833918fffffffff,1.0,0.0,0.0
833919fffffffff,5.0,0.0,0.0
83391afffffffff,19.0,0.0,0.0
83391bfffffffff,9.0,0.0,0.0
83391efffffffff,11.0,0.0,0.0
833920fffffffff,9.0,0.0,0.0
833922fffffffff,45.0,0.0,0.0
833924fffffffff,36.0,0.0,0.0
833925fffffffff,8.0,0.0,0.0
833926fffffffff,5.0,2.0,0.0
833931fffffffff,67.0,0.0,0.0
833932fffffffff,8.0,0.0,0.0
833933fffffffff,65.0,0.0,0.0
833946fffffffff,15.0,0.0,3.0
833954fffffffff,4.0,0.0,0.0
833955fffffffff,4.0,0.0,0.0
833956fffffffff,2.0,0.0,0.0
83395cfffffffff,7.0,0.0,0.0
83395dfffffffff,1.0,0.0,0.0
833973fffffffff,16.0,0.0,5.0
833982fffffffff,1.0,1.0,0.0
833f30fffffffff,2.0,0.0,0.0
833f62fffffffff,19.0,0.0,0.0
833f74fffffffff,2.0,0.0,0.0
8344a1fffffffff,2.0,0.0,0.0
83ad11fffffffff,3.0,0.0,0.0
83ad34fffffffff,14.0,0.0,0.0
83ad36fffffffff,1.0,0.0,0.0
83bc1bfffffffff,11.0,11.0,0.0
83bc6dfffffffff,1.0,0.0,0.0
83d161fffffffff,3.0,0.0,0.0
83d169fffffffff,2.0,0.0,0.0
