cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
8419721ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8419725ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841972bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
841972dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841973dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841e025ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841e045ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841e05bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841e0a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
841e0e7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841e153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841e34bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841e5a9ffffffff,11.0,11.0,0.0,0.0,0.0,0.0
841e5adffffffff,8.0,8.0,0.0,0.0,0.0,0.0
841ea53ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
841ec27ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841ec91ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841ede1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841ee97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841f001ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f137ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841f1a5ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
841f463ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f5c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f715ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
841f725ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
841f83bffffffff,22.0,0.0,0.0,0.0,0.0,0.0
841f889ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f899ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f8d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841f8d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
