cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
8426801ffffffff,2.0,0.0,0.0,0.0
8426803ffffffff,2.0,0.0,0.0,0.0
8426805ffffffff,6.0,0.0,0.0,0.0
8426813ffffffff,346.0,0.0,4.0,0.0
8426815ffffffff,5.0,0.0,0.0,0.0
8426819ffffffff,169.0,0.0,0.0,0.0
842681bffffffff,2240.0,0.0,9.0,0.0
842681dffffffff,1.0,0.0,0.0,0.0
8426823ffffffff,9.0,0.0,0.0,0.0
8426825ffffffff,3.0,0.0,0.0,0.0
8426829ffffffff,4.0,0.0,0.0,0.0
842682bffffffff,6.0,0.0,0.0,0.0
842682dffffffff,7.0,0.0,0.0,0.0
8426831ffffffff,40.0,0.0,0.0,0.0
8426833ffffffff,6.0,0.0,0.0,0.0
8426835ffffffff,3.0,0.0,0.0,0.0
8426837ffffffff,3.0,0.0,0.0,0.0
8426839ffffffff,7.0,0.0,0.0,0.0
842683bffffffff,7.0,0.0,0.0,0.0
842683dffffffff,13.0,0.0,0.0,0.0
8426853ffffffff,410.0,0.0,0.0,0.0
842685bffffffff,6.0,0.0,0.0,0.0
8426867ffffffff,2.0,0.0,0.0,0.0
8426881ffffffff,1065.0,0.0,0.0,0.0
8426883ffffffff,3.0,0.0,0.0,0.0
8426885ffffffff,119.0,0.0,0.0,0.0
8426887ffffffff,208.0,0.0,0.0,0.0
8426889ffffffff,101.0,0.0,0.0,0.0
842688dffffffff,430.0,0.0,0.0,0.0
8426891ffffffff,79.0,0.0,0.0,0.0
8426893ffffffff,68.0,0.0,0.0,0.0
8426895ffffffff,2.0,0.0,0.0,0.0
8426897ffffffff,13.0,0.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0
84268a5ffffffff,24.0,0.0,0.0,0.0
84268a7ffffffff,9.0,0.0,0.0,0.0
84268a9ffffffff,23.0,0.0,0.0,0.0
84268abffffffff,119.0,0.0,0.0,0.0
84268adffffffff,15.0,0.0,0.0,0.0
84268b1ffffffff,48.0,0.0,0.0,0.0
84268b3ffffffff,18.0,0.0,4.0,0.0
84268b5ffffffff,5.0,0.0,0.0,0.0
84268b7ffffffff,2.0,0.0,0.0,0.0
84268b9ffffffff,76.0,0.0,0.0,0.0
84268bbffffffff,85.0,0.0,0.0,0.0
84268bdffffffff,14.0,0.0,0.0,0.0
84268c1ffffffff,153.0,0.0,0.0,0.0
84268c5ffffffff,131.0,0.0,3.0,0.0
84268c7ffffffff,2125.0,0.0,0.0,0.0
84268cdffffffff,5550.0,0.0,457.0,0.0
84268e1ffffffff,115.0,0.0,0.0,0.0
84268e3ffffffff,58.0,0.0,0.0,0.0
84268e5ffffffff,14.0,0.0,0.0,0.0
84268e7ffffffff,65.0,0.0,0.0,0.0
84268ebffffffff,11.0,0.0,0.0,0.0
84268edffffffff,1.0,0.0,0.0,0.0
8426901ffffffff,1.0,0.0,0.0,0.0
8426903ffffffff,4.0,0.0,0.0,0.0
8426905ffffffff,6.0,0.0,0.0,0.0
8426907ffffffff,7.0,0.0,0.0,0.0
8426909ffffffff,1.0,0.0,0.0,0.0
842690bffffffff,1.0,0.0,0.0,0.0
842690dffffffff,9.0,0.0,0.0,0.0
8426913ffffffff,15.0,0.0,0.0,0.0
8426915ffffffff,9.0,0.0,7.0,0.0
8426917ffffffff,6.0,0.0,3.0,0.0
842691dffffffff,5.0,0.0,0.0,0.0
8426921ffffffff,2.0,0.0,2.0,0.0
8426927ffffffff,1.0,0.0,0.0,0.0
8426929ffffffff,119.0,0.0,2.0,0.0
842692bffffffff,4.0,0.0,1.0,0.0
842692dffffffff,1.0,0.0,0.0,0.0
8426931ffffffff,6.0,0.0,0.0,0.0
8426933ffffffff,8.0,0.0,0.0,0.0
8426935ffffffff,2.0,0.0,0.0,0.0
8426937ffffffff,2.0,0.0,0.0,0.0
8426939ffffffff,2.0,0.0,0.0,0.0
842693dffffffff,2.0,0.0,0.0,0.0
8426953ffffffff,14.0,0.0,0.0,0.0
8426957ffffffff,3.0,0.0,0.0,0.0
8426959ffffffff,9.0,0.0,1.0,0.0
842695bffffffff,15.0,0.0,0.0,0.0
8426963ffffffff,57.0,0.0,11.0,0.0
8426965ffffffff,11.0,0.0,0.0,0.0
