cell_id,Apus affinis,Apus affinis [affinis Group],Apus affinis bannermani,Apus affinis singalensis
831941fffffffff,1.0,0.0,0.0,0.0
831943fffffffff,1.0,0.0,0.0,0.0
831946fffffffff,5.0,0.0,0.0,0.0
831951fffffffff,2.0,0.0,0.0,0.0
831959fffffffff,2.0,0.0,0.0,0.0
831fa4fffffffff,2.0,0.0,0.0,0.0
832c12fffffffff,4.0,0.0,0.0,0.0
832c93fffffffff,7.0,0.0,0.0,0.0
832d12fffffffff,2.0,0.0,0.0,0.0
832da1fffffffff,31.0,0.0,0.0,0.0
832da8fffffffff,3.0,0.0,0.0,0.0
832da9fffffffff,5.0,0.0,0.0,0.0
832dacfffffffff,3.0,0.0,0.0,0.0
832db0fffffffff,3.0,0.0,0.0,0.0
832db1fffffffff,21.0,3.0,0.0,0.0
832db2fffffffff,5.0,0.0,0.0,0.0
832db6fffffffff,2.0,0.0,0.0,0.0
833842fffffffff,1.0,0.0,0.0,0.0
833862fffffffff,1.0,0.0,0.0,0.0
833900fffffffff,2.0,0.0,0.0,0.0
833903fffffffff,8.0,0.0,0.0,0.0
833910fffffffff,6.0,0.0,0.0,0.0
833911fffffffff,6.0,0.0,0.0,0.0
833915fffffffff,11.0,0.0,0.0,0.0
83391cfffffffff,11.0,0.0,0.0,0.0
83391efffffffff,22.0,1.0,0.0,0.0
833922fffffffff,2.0,0.0,0.0,0.0
8339abfffffffff,4.0,0.0,0.0,0.0
833c0afffffffff,3.0,0.0,0.0,0.0
833c11fffffffff,2.0,0.0,0.0,0.0
833c19fffffffff,17.0,0.0,0.0,0.0
833c1dfffffffff,5.0,0.0,0.0,0.0
833c88fffffffff,6.0,0.0,0.0,0.0
833c8cfffffffff,4.0,0.0,0.0,0.0
833c8efffffffff,5.0,0.0,0.0,0.0
833c92fffffffff,2.0,0.0,0.0,0.0
833c93fffffffff,7.0,0.0,0.0,0.0
833c96fffffffff,2.0,0.0,0.0,0.0
833c9dfffffffff,3.0,0.0,0.0,0.0
833cabfffffffff,5.0,0.0,0.0,0.0
833cb3fffffffff,3.0,0.0,0.0,0.0
833cb6fffffffff,2.0,0.0,0.0,0.0
833cf0fffffffff,2.0,0.0,0.0,0.0
833cf2fffffffff,59.0,0.0,0.0,6.0
833cf6fffffffff,2.0,0.0,0.0,0.0
833d10fffffffff,1.0,0.0,0.0,0.0
833d30fffffffff,1.0,0.0,0.0,0.0
833d34fffffffff,2.0,0.0,0.0,0.0
833d36fffffffff,6.0,0.0,0.0,0.0
833d85fffffffff,3.0,0.0,0.0,0.0
833da1fffffffff,11.0,5.0,0.0,3.0
833dacfffffffff,3.0,0.0,0.0,0.0
833dadfffffffff,5.0,0.0,0.0,0.0
833db6fffffffff,5.0,5.0,0.0,0.0
833e41fffffffff,1.0,0.0,0.0,0.0
833e45fffffffff,2.0,0.0,0.0,0.0
833e5cfffffffff,1.0,0.0,0.0,0.0
833e6afffffffff,2.0,0.0,0.0,0.0
833e6cfffffffff,1.0,1.0,0.0,0.0
833f4dfffffffff,1.0,0.0,0.0,0.0
83425afffffffff,11.0,0.0,0.0,0.0
8342c4fffffffff,2.0,2.0,0.0,0.0
83431efffffffff,2.0,0.0,0.0,0.0
834322fffffffff,2.0,0.0,0.0,0.0
834334fffffffff,1.0,0.0,0.0,0.0
8343a1fffffffff,3.0,0.0,0.0,0.0
8343acfffffffff,2.0,0.0,0.0,0.0
83534dfffffffff,1.0,0.0,0.0,0.0
83536efffffffff,2.0,0.0,0.0,0.0
8354acfffffffff,2.0,2.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0,0.0
835e72fffffffff,1.0,0.0,0.0,0.0
836002fffffffff,40.0,2.0,0.0,6.0
836006fffffffff,41.0,0.0,0.0,0.0
836010fffffffff,6.0,0.0,0.0,0.0
836011fffffffff,13.0,0.0,0.0,0.0
836014fffffffff,2.0,2.0,0.0,0.0
836015fffffffff,26.0,11.0,0.0,0.0
836016fffffffff,7.0,0.0,0.0,0.0
836022fffffffff,18.0,0.0,0.0,0.0
836026fffffffff,9.0,0.0,0.0,0.0
836031fffffffff,54.0,0.0,0.0,0.0
836033fffffffff,12.0,0.0,0.0,0.0
836035fffffffff,24.0,0.0,0.0,5.0
836088fffffffff,61.0,0.0,0.0,0.0
83608efffffffff,2.0,0.0,0.0,0.0
836093fffffffff,1.0,0.0,0.0,0.0
836094fffffffff,3.0,0.0,0.0,0.0
836095fffffffff,4.0,0.0,0.0,0.0
836096fffffffff,3.0,3.0,0.0,0.0
836099fffffffff,2.0,0.0,0.0,0.0
83609efffffffff,16.0,0.0,0.0,0.0
8360a2fffffffff,3.0,0.0,0.0,0.0
8360a4fffffffff,3.0,0.0,0.0,0.0
8360a6fffffffff,3.0,0.0,0.0,0.0
8360a9fffffffff,30.0,3.0,0.0,3.0
8360adfffffffff,14.0,0.0,0.0,0.0
8360aefffffffff,2.0,0.0,0.0,0.0
8360b1fffffffff,5.0,0.0,0.0,0.0
836143fffffffff,2.0,0.0,0.0,0.0
836188fffffffff,8.0,0.0,0.0,0.0
836189fffffffff,8.0,2.0,0.0,0.0
83618bfffffffff,20.0,0.0,0.0,0.0
83618efffffffff,4.0,0.0,0.0,0.0
837a45fffffffff,6.0,6.0,0.0,0.0
837a5cfffffffff,2.0,2.0,0.0,0.0
837a68fffffffff,10.0,10.0,0.0,0.0
837a6afffffffff,3.0,3.0,0.0,0.0
837a6efffffffff,4.0,4.0,0.0,0.0
837b4afffffffff,6.0,0.0,0.0,0.0
837b4cfffffffff,60.0,6.0,0.0,0.0
837b5bfffffffff,3.0,0.0,0.0,0.0
839711fffffffff,1.0,1.0,0.0,0.0
83972cfffffffff,2.0,0.0,0.0,0.0
83a231fffffffff,22.0,0.0,0.0,0.0
