cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
8445305ffffffff,18.0,0.0,0.0,0.0
844532bffffffff,26.0,0.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0,0.0
8445363ffffffff,6.0,0.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,161.0,0.0,7.0,0.0
8466107ffffffff,79.0,0.0,10.0,0.0
846610bffffffff,2.0,0.0,0.0,0.0
8466117ffffffff,12.0,0.0,0.0,0.0
8466129ffffffff,5.0,0.0,0.0,0.0
8466131ffffffff,45.0,0.0,2.0,0.0
8466139ffffffff,100.0,0.0,22.0,0.0
846613bffffffff,9.0,0.0,0.0,0.0
846613dffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,102.0,0.0,18.0,0.0
8466165ffffffff,21.0,0.0,2.0,0.0
8466167ffffffff,1.0,0.0,1.0,0.0
84661a5ffffffff,30.0,0.0,7.0,0.0
84661adffffffff,23.0,0.0,3.0,0.0
84661c1ffffffff,3.0,0.0,0.0,0.0
84661ebffffffff,19.0,0.0,0.0,0.0
8466411ffffffff,1.0,0.0,0.0,0.0
846641dffffffff,3.0,0.0,0.0,0.0
8466481ffffffff,2.0,0.0,0.0,0.0
84665a3ffffffff,4.0,0.0,0.0,0.0
84665abffffffff,55.0,0.0,0.0,0.0
84665bdffffffff,334.0,0.0,0.0,0.0
8466ad9ffffffff,1.0,0.0,0.0,0.0
8466b49ffffffff,139.0,0.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0,0.0
8466b59ffffffff,9.0,0.0,0.0,0.0
8466b5bffffffff,4.0,0.0,0.0,0.0
8466c01ffffffff,6.0,0.0,0.0,0.0
8466c19ffffffff,4.0,0.0,0.0,0.0
8466c21ffffffff,113.0,0.0,0.0,0.0
8466c23ffffffff,32.0,0.0,0.0,0.0
8466c27ffffffff,48.0,0.0,0.0,0.0
8466c29ffffffff,18.0,0.0,0.0,0.0
8466c2bffffffff,6.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,0.0
8466c57ffffffff,7.0,0.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0,0.0
8466c5dffffffff,49.0,0.0,0.0,0.0
8466c95ffffffff,2.0,0.0,0.0,0.0
