cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
838030fffffffff,3.0,0.0,3.0
83811afffffffff,2.0,0.0,2.0
8381adfffffffff,1.0,0.0,1.0
838b20fffffffff,12.0,12.0,0.0
838b24fffffffff,2.0,2.0,0.0
838b25fffffffff,14.0,14.0,0.0
83a94efffffffff,1.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0
83b251fffffffff,7.0,1.0,0.0
83b261fffffffff,22.0,0.0,0.0
83b268fffffffff,8.0,0.0,0.0
83b26bfffffffff,22.0,0.0,0.0
83b26cfffffffff,4.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0
83b342fffffffff,41.0,0.0,0.0
83b348fffffffff,4.0,0.0,0.0
83b34cfffffffff,4.0,0.0,0.0
83b34dfffffffff,3.0,0.0,0.0
83b351fffffffff,5.0,0.0,0.0
83b35cfffffffff,5.0,0.0,0.0
83b35dfffffffff,1.0,1.0,0.0
83b36bfffffffff,1.0,0.0,0.0
83b36dfffffffff,1.0,0.0,0.0
83c2e3fffffffff,2.0,0.0,0.0
83c321fffffffff,2.0,0.0,0.0
83c328fffffffff,4.0,0.0,0.0
83c329fffffffff,4.0,0.0,0.0
83c32afffffffff,2.0,0.0,0.0
83c32efffffffff,30.0,0.0,0.0
83c340fffffffff,1.0,0.0,0.0
83c350fffffffff,6.0,0.0,0.0
83c353fffffffff,1.0,0.0,0.0
83c356fffffffff,1.0,0.0,0.0
83c371fffffffff,4.0,0.0,0.0
83c376fffffffff,8.0,0.0,0.0
