cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
84541adffffffff,1.0,1.0,0.0,0.0
8454ac3ffffffff,4.0,0.0,0.0,0.0
8454c51ffffffff,1.0,0.0,0.0,0.0
8454ea5ffffffff,2.0,2.0,0.0,0.0
847a401ffffffff,2.0,0.0,2.0,0.0
847a4d1ffffffff,1.0,0.0,1.0,0.0
847a6a1ffffffff,12.0,0.0,5.0,0.0
847a6a7ffffffff,1.0,0.0,0.0,0.0
847a6e5ffffffff,2.0,0.0,0.0,0.0
8482a81ffffffff,1.0,0.0,0.0,1.0
8482f43ffffffff,1.0,0.0,0.0,1.0
84962b9ffffffff,1.0,0.0,1.0,0.0
8496757ffffffff,1.0,0.0,1.0,0.0
84ac819ffffffff,3.0,0.0,0.0,0.0
84bcc3dffffffff,2.0,0.0,2.0,0.0
84bcc65ffffffff,1.0,0.0,0.0,0.0
84bce95ffffffff,3.0,0.0,2.0,0.0
