cell_id,Harpactes oreskios,Harpactes oreskios [dulitensis Group],Harpactes oreskios oreskios
824067fffffffff,15.0,0.0,0.0
82416ffffffffff,4.0,0.0,0.0
826417fffffffff,860.0,167.0,0.0
826427fffffffff,1.0,0.0,0.0
826437fffffffff,138.0,43.0,0.0
826487fffffffff,62.0,10.0,0.0
826497fffffffff,31.0,7.0,0.0
82649ffffffffff,2.0,2.0,0.0
8264a7fffffffff,64.0,5.0,0.0
8264b7fffffffff,55.0,9.0,0.0
826507fffffffff,149.0,0.0,0.0
826517fffffffff,1.0,0.0,0.0
82651ffffffffff,153.0,38.0,0.0
82652ffffffffff,2.0,0.0,0.0
826557fffffffff,4.0,0.0,0.0
826587fffffffff,52.0,0.0,0.0
82658ffffffffff,25.0,2.0,0.0
826597fffffffff,127.0,0.0,0.0
82659ffffffffff,549.0,76.0,0.0
8265b7fffffffff,379.0,17.0,0.0
826817fffffffff,43.0,0.0,0.0
82681ffffffffff,26.0,0.0,0.0
82689ffffffffff,4.0,0.0,0.0
826937fffffffff,1.0,1.0,0.0
828c17fffffffff,44.0,0.0,2.0
828c1ffffffffff,8.0,0.0,0.0
828cd7fffffffff,4.0,0.0,0.0
828d87fffffffff,4.0,0.0,0.0
828d8ffffffffff,3.0,0.0,0.0
828da7fffffffff,30.0,0.0,1.0
