cell_id,Xiphorhynchus susurrans,Xiphorhynchus susurrans [nana Group],Xiphorhynchus susurrans [susurrans Group]
834520fffffffff,12.0,0.0,0.0
834522fffffffff,536.0,0.0,0.0
834526fffffffff,31.0,0.0,0.0
834530fffffffff,41.0,0.0,0.0
834531fffffffff,39.0,0.0,0.0
834532fffffffff,91.0,0.0,0.0
834534fffffffff,34.0,0.0,0.0
834536fffffffff,76.0,0.0,0.0
835f48fffffffff,18.0,0.0,1.0
835f49fffffffff,10.0,0.0,0.0
835f4afffffffff,79.0,0.0,0.0
835f4bfffffffff,85.0,0.0,1.0
835f4efffffffff,6.0,0.0,0.0
835f58fffffffff,969.0,0.0,0.0
835f59fffffffff,35.0,0.0,1.0
835f5bfffffffff,614.0,0.0,0.0
835f5dfffffffff,2.0,0.0,0.0
836601fffffffff,57.0,0.0,0.0
836602fffffffff,5.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,15.0,0.0,0.0
836606fffffffff,12.0,0.0,0.0
836608fffffffff,209.0,0.0,0.0
83660afffffffff,106.0,0.0,0.0
83660bfffffffff,8.0,0.0,0.0
83660cfffffffff,23.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
83660efffffffff,139.0,0.0,0.0
836610fffffffff,1888.0,154.0,0.0
836611fffffffff,108.0,0.0,0.0
836612fffffffff,71.0,0.0,0.0
836613fffffffff,754.0,76.0,0.0
836616fffffffff,1178.0,139.0,0.0
836618fffffffff,214.0,22.0,0.0
836619fffffffff,954.0,40.0,0.0
83661afffffffff,3.0,0.0,0.0
83661bfffffffff,261.0,2.0,0.0
83661cfffffffff,75.0,0.0,0.0
83661dfffffffff,36.0,0.0,0.0
83661efffffffff,59.0,0.0,0.0
836620fffffffff,849.0,69.0,0.0
836621fffffffff,139.0,0.0,0.0
836622fffffffff,292.0,21.0,0.0
836623fffffffff,7.0,0.0,0.0
836629fffffffff,40.0,2.0,0.0
83662bfffffffff,5.0,0.0,0.0
83662dfffffffff,64.0,0.0,0.0
83662efffffffff,44.0,0.0,0.0
836631fffffffff,44.0,0.0,0.0
836664fffffffff,4.0,0.0,0.0
836675fffffffff,4.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366a0fffffffff,2256.0,100.0,0.0
8366a1fffffffff,94.0,6.0,0.0
8366a2fffffffff,64.0,0.0,0.0
8366a3fffffffff,332.0,12.0,0.0
8366a5fffffffff,12173.0,827.0,0.0
8366a6fffffffff,51.0,0.0,0.0
8366aefffffffff,10.0,0.0,0.0
8366b0fffffffff,3202.0,0.0,0.0
8366b1fffffffff,41.0,2.0,0.0
8366b4fffffffff,3669.0,0.0,0.0
8366b5fffffffff,2022.0,10.0,0.0
8366b6fffffffff,276.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c4fffffffff,16.0,0.0,0.0
8366e0fffffffff,245.0,0.0,0.0
8366e2fffffffff,38.0,0.0,0.0
8366e4fffffffff,125.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0
8366e6fffffffff,2616.0,26.0,0.0
8366f0fffffffff,29.0,0.0,0.0
8366f1fffffffff,209.0,0.0,0.0
8366f5fffffffff,1298.0,43.0,0.0
836741fffffffff,504.0,2.0,0.0
836742fffffffff,112.0,42.0,0.0
836743fffffffff,463.0,9.0,0.0
83674bfffffffff,2.0,0.0,0.0
83674cfffffffff,836.0,26.0,0.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,260.0,0.0,0.0
836751fffffffff,78.0,10.0,0.0
836752fffffffff,3.0,0.0,0.0
836753fffffffff,55.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
836759fffffffff,10.0,0.0,0.0
83675afffffffff,23.0,0.0,0.0
83675cfffffffff,177.0,0.0,0.0
83675dfffffffff,17.0,0.0,0.0
83675efffffffff,34.0,0.0,0.0
83678bfffffffff,13.0,2.0,0.0
836790fffffffff,24.0,0.0,0.0
836792fffffffff,8.0,0.0,0.0
836793fffffffff,17.0,0.0,0.0
836794fffffffff,8.0,0.0,0.0
836796fffffffff,44.0,0.0,0.0
83679afffffffff,3947.0,0.0,0.0
83679bfffffffff,1563.0,2.0,0.0
8367b2fffffffff,1.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0
836d68fffffffff,563.0,0.0,0.0
836d69fffffffff,7165.0,0.0,0.0
836d6cfffffffff,9.0,0.0,0.0
836d6dfffffffff,1712.0,0.0,0.0
