cell_id,Turdoides reinwardtii,Turdoides reinwardtii reinwardtii,Turdoides reinwardtii stictilaema
8454139ffffffff,1.0,0.0,0.0
8454195ffffffff,5.0,1.0,0.0
8454197ffffffff,4.0,0.0,0.0
84541a3ffffffff,4.0,0.0,0.0
84541a5ffffffff,48.0,18.0,0.0
84541a7ffffffff,1.0,1.0,0.0
84541b3ffffffff,1.0,0.0,0.0
84541b5ffffffff,2.0,0.0,0.0
84541b9ffffffff,49.0,5.0,0.0
84541bbffffffff,4.0,0.0,0.0
845440dffffffff,15.0,0.0,0.0
8454443ffffffff,8.0,0.0,0.0
8454447ffffffff,3.0,0.0,0.0
8454a93ffffffff,216.0,10.0,0.0
8454a9bffffffff,174.0,22.0,0.0
8454ad5ffffffff,8.0,0.0,0.0
8454addffffffff,5.0,0.0,0.0
8454ccbffffffff,1.0,0.0,0.0
8454e21ffffffff,2.0,0.0,0.0
8454e41ffffffff,10.0,0.0,0.0
8454e43ffffffff,2.0,0.0,0.0
8454e49ffffffff,2.0,0.0,0.0
8454e4bffffffff,4.0,0.0,0.0
8454e4dffffffff,113.0,25.0,0.0
8454e51ffffffff,9.0,3.0,0.0
8454e59ffffffff,4.0,0.0,0.0
8454e5bffffffff,13.0,1.0,0.0
8454e8bffffffff,1.0,0.0,0.0
8454f0bffffffff,6.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f1bffffffff,2.0,0.0,0.0
8454f43ffffffff,2.0,2.0,0.0
8454f45ffffffff,6.0,0.0,0.0
8454f47ffffffff,7.0,6.0,0.0
8454f49ffffffff,3.0,0.0,0.0
8454f4dffffffff,110.0,6.0,0.0
8454f51ffffffff,5.0,0.0,0.0
8454f57ffffffff,11.0,0.0,0.0
8454f6bffffffff,4.0,1.0,0.0
845890bffffffff,2.0,0.0,0.0
8458a4dffffffff,3.0,0.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458a69ffffffff,1.0,0.0,0.0
8458b51ffffffff,3.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458debffffffff,2.0,0.0,0.0
8458e2dffffffff,15.0,0.0,0.0
8458e31ffffffff,1.0,0.0,0.0
8458e67ffffffff,4.0,0.0,0.0
8458f5bffffffff,5.0,0.0,0.0
8475201ffffffff,74.0,0.0,6.0
8475203ffffffff,2.0,0.0,2.0
8475205ffffffff,3.0,0.0,0.0
8475207ffffffff,92.0,0.0,7.0
8475209ffffffff,3.0,0.0,0.0
847521dffffffff,1.0,0.0,0.0
8475293ffffffff,43.0,0.0,1.0
8475299ffffffff,1.0,0.0,0.0
847529bffffffff,52.0,0.0,4.0
84752bdffffffff,1.0,0.0,0.0
8475323ffffffff,1.0,0.0,0.0
847532bffffffff,3.0,0.0,0.0
8475361ffffffff,4.0,0.0,0.0
8475761ffffffff,10.0,0.0,0.0
8475769ffffffff,16.0,0.0,0.0
