cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
823c8ffffffffff,70.0,0.0,0.0,2.0,0.0,0.0
823cf7fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82410ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8243affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824a27fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
824b87fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
824ba7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
824bb7fffffffff,91.0,0.0,0.0,0.0,0.0,2.0
825217fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8260affffffffff,75.0,0.0,0.0,1.0,0.0,0.0
82640ffffffffff,5.0,0.0,0.0,5.0,0.0,0.0
82642ffffffffff,14.0,0.0,0.0,0.0,14.0,0.0
8264affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826507fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
82650ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82651ffffffffff,304.0,0.0,0.0,0.0,0.0,0.0
826527fffffffff,150.0,0.0,0.0,5.0,0.0,0.0
82685ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8268cffffffffff,13.0,0.0,0.0,0.0,0.0,13.0
8268d7fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
826947fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8272affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829417fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82942ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8295a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
