cell_id,Hypsipetes siquijorensis,Hypsipetes siquijorensis cinereiceps,Hypsipetes siquijorensis monticola,Hypsipetes siquijorensis siquijorensis
8468449ffffffff,4.0,0.0,4.0,0.0
8468461ffffffff,47.0,0.0,0.0,6.0
8469593ffffffff,35.0,23.0,0.0,0.0
8469597ffffffff,2.0,2.0,0.0,0.0
