cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
83446efffffffff,3.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0
834520fffffffff,24.0,0.0,0.0
834524fffffffff,11.0,0.0,0.0
834526fffffffff,71.0,0.0,0.0
83452afffffffff,1.0,0.0,0.0
83452efffffffff,24.0,1.0,0.0
834534fffffffff,8.0,0.0,0.0
834535fffffffff,3.0,0.0,0.0
834833fffffffff,3.0,0.0,1.0
834836fffffffff,2.0,0.0,2.0
834880fffffffff,1.0,0.0,0.0
834886fffffffff,2.0,1.0,0.0
83489cfffffffff,60.0,1.0,0.0
8348a0fffffffff,4.0,0.0,0.0
8348a2fffffffff,1.0,0.0,0.0
8348b1fffffffff,17.0,0.0,0.0
8348b2fffffffff,1.0,0.0,0.0
8348b3fffffffff,646.0,1.0,0.0
834990fffffffff,1.0,0.0,0.0
834996fffffffff,8.0,3.0,0.0
8349a2fffffffff,2.0,0.0,2.0
8349a8fffffffff,10.0,0.0,4.0
836d15fffffffff,11.0,0.0,3.0
836d23fffffffff,1.0,1.0,0.0
836d29fffffffff,4.0,0.0,0.0
836d2bfffffffff,9.0,0.0,0.0
836d2dfffffffff,3.0,0.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d35fffffffff,1.0,1.0,0.0
836d60fffffffff,15.0,0.0,0.0
836d64fffffffff,23.0,0.0,0.0
836d74fffffffff,4.0,0.0,0.0
