cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
824417fffffffff,7434.0,39.0,0.0
82441ffffffffff,12401.0,226.0,0.0
824437fffffffff,244.0,8.0,0.0
824447fffffffff,298.0,0.0,0.0
824457fffffffff,39.0,0.0,0.0
82446ffffffffff,283.0,4.0,0.0
824487fffffffff,151.0,0.0,0.0
8244a7fffffffff,1673.0,15.0,0.0
8244affffffffff,26408.0,647.0,0.0
8244b7fffffffff,421.0,0.0,0.0
8244e7fffffffff,732.0,1.0,0.0
8244f7fffffffff,8119.0,358.0,0.0
824507fffffffff,305.0,5.0,0.0
82450ffffffffff,1531.0,21.0,0.0
824527fffffffff,2362.0,0.0,0.0
82452ffffffffff,7448.0,135.0,0.0
824537fffffffff,40.0,0.0,0.0
824577fffffffff,135.0,0.0,0.0
824587fffffffff,31.0,0.0,0.0
82458ffffffffff,1104.0,21.0,0.0
824597fffffffff,314.0,12.0,0.0
82459ffffffffff,271.0,2.0,0.0
8245b7fffffffff,99.0,0.0,0.0
824837fffffffff,1780.0,23.0,0.0
824897fffffffff,168.0,0.0,0.0
82489ffffffffff,2.0,0.0,0.0
824997fffffffff,396.0,11.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249a7fffffffff,8.0,0.0,0.0
8249affffffffff,228.0,2.0,0.0
8249b7fffffffff,36.0,4.0,0.0
824c8ffffffffff,148.0,0.0,0.0
824c97fffffffff,4.0,0.0,0.0
824c9ffffffffff,12.0,0.0,0.0
824cc7fffffffff,337.0,31.0,0.0
824cd7fffffffff,275.0,13.0,0.0
824ceffffffffff,129.0,4.0,0.0
824cf7fffffffff,340.0,44.0,0.0
825f0ffffffffff,501.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0
825f1ffffffffff,26.0,0.0,0.0
825f2ffffffffff,369.0,0.0,0.0
825f47fffffffff,13.0,0.0,0.0
825f4ffffffffff,30.0,0.0,0.0
825f5ffffffffff,507.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0
826607fffffffff,683.0,0.0,1.0
82660ffffffffff,105.0,0.0,0.0
826617fffffffff,697.0,0.0,0.0
82661ffffffffff,150.0,0.0,0.0
826627fffffffff,1365.0,0.0,131.0
82662ffffffffff,45.0,0.0,0.0
826637fffffffff,237.0,0.0,0.0
826647fffffffff,56.0,0.0,0.0
826657fffffffff,112.0,0.0,0.0
826667fffffffff,69.0,0.0,2.0
82666ffffffffff,2.0,0.0,0.0
826677fffffffff,186.0,0.0,0.0
826687fffffffff,3.0,0.0,0.0
8266a7fffffffff,671.0,0.0,0.0
8266b7fffffffff,759.0,0.0,0.0
8266c7fffffffff,285.0,0.0,0.0
8266cffffffffff,20.0,0.0,0.0
8266d7fffffffff,15.0,0.0,0.0
8266dffffffffff,1107.0,0.0,110.0
8266e7fffffffff,578.0,0.0,0.0
8266effffffffff,48.0,0.0,0.0
8266f7fffffffff,2117.0,0.0,35.0
826727fffffffff,40.0,0.0,0.0
