cell_id,Passer domesticus,Passer domesticus [domesticus Group],Passer domesticus [indicus Group]
840120bffffffff,2.0,0.0,0.0
840120dffffffff,2.0,0.0,0.0
840122bffffffff,3.0,0.0,0.0
840123dffffffff,1.0,0.0,0.0
8401261ffffffff,21.0,0.0,0.0
8401265ffffffff,6.0,0.0,0.0
840126dffffffff,1.0,0.0,0.0
840130bffffffff,161.0,0.0,0.0
8401319ffffffff,67.0,0.0,0.0
840131dffffffff,3.0,0.0,0.0
840134bffffffff,24.0,0.0,0.0
8401351ffffffff,233.0,0.0,0.0
8401353ffffffff,14.0,0.0,0.0
8401355ffffffff,126.0,0.0,0.0
8401359ffffffff,5.0,0.0,0.0
840135bffffffff,78.0,0.0,0.0
840135dffffffff,16.0,0.0,0.0
8404cddffffffff,18.0,0.0,0.0
8404eb1ffffffff,11.0,0.0,0.0
8408007ffffffff,2.0,0.0,0.0
8408021ffffffff,10.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0
840802dffffffff,4.0,0.0,0.0
8408065ffffffff,29.0,0.0,0.0
840806dffffffff,1.0,0.0,0.0
840810dffffffff,2.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0
8408141ffffffff,2.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0
8408151ffffffff,103.0,0.0,0.0
8408153ffffffff,9.0,0.0,0.0
8408159ffffffff,148.0,0.0,0.0
840815bffffffff,31.0,0.0,0.0
84081e5ffffffff,1.0,0.0,0.0
84081e9ffffffff,2.0,0.0,0.0
8408287ffffffff,1.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0
84082a5ffffffff,3.0,0.0,0.0
84082b1ffffffff,1.0,0.0,0.0
84082bdffffffff,1.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0
8408329ffffffff,4.0,0.0,0.0
840832bffffffff,4.0,0.0,0.0
840832dffffffff,1.0,0.0,0.0
8408331ffffffff,2.0,0.0,0.0
8408333ffffffff,4.0,0.0,0.0
8408339ffffffff,1.0,0.0,0.0
840833bffffffff,11.0,0.0,0.0
840833dffffffff,2.0,0.0,0.0
8408361ffffffff,2.0,0.0,0.0
8408363ffffffff,3.0,0.0,0.0
8408365ffffffff,34.0,0.0,0.0
8408367ffffffff,2.0,0.0,0.0
840836dffffffff,14.0,0.0,0.0
8408809ffffffff,3.0,0.0,0.0
840880bffffffff,1.0,0.0,0.0
840880dffffffff,50.0,0.0,0.0
8408829ffffffff,22.0,0.0,0.0
