cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
839c05fffffffff,16.0,0.0,16.0
839c20fffffffff,12.0,0.0,12.0
839c21fffffffff,463.0,0.0,463.0
839c23fffffffff,1771.0,0.0,1771.0
839c25fffffffff,100.0,0.0,100.0
839d01fffffffff,11.0,0.0,11.0
839d0bfffffffff,2.0,0.0,2.0
839d0cfffffffff,159.0,0.0,159.0
839d21fffffffff,58.0,0.0,58.0
839d24fffffffff,10.0,0.0,10.0
839d25fffffffff,40.0,0.0,40.0
839d28fffffffff,1.0,0.0,1.0
839d2afffffffff,7.0,0.0,7.0
83a700fffffffff,7.0,7.0,0.0
83a702fffffffff,4.0,4.0,0.0
83a704fffffffff,15.0,15.0,0.0
83a706fffffffff,3.0,3.0,0.0
83a714fffffffff,3.0,3.0,0.0
83a71dfffffffff,3.0,3.0,0.0
83a722fffffffff,6.0,6.0,0.0
83a726fffffffff,194.0,193.0,0.0
83a730fffffffff,2.0,2.0,0.0
83a731fffffffff,2.0,2.0,0.0
83a732fffffffff,4.0,4.0,0.0
83a733fffffffff,23.0,23.0,0.0
83a734fffffffff,2.0,2.0,0.0
83a735fffffffff,13.0,13.0,0.0
83b829fffffffff,5.0,5.0,0.0
83b860fffffffff,4.0,4.0,0.0
83b861fffffffff,4.0,4.0,0.0
83b863fffffffff,2.0,2.0,0.0
83b864fffffffff,1.0,1.0,0.0
83b865fffffffff,12.0,12.0,0.0
83b868fffffffff,7.0,7.0,0.0
83b869fffffffff,1.0,1.0,0.0
83b86afffffffff,7.0,7.0,0.0
83b86bfffffffff,1.0,1.0,0.0
83b86dfffffffff,6.0,6.0,0.0
83b86efffffffff,3.0,3.0,0.0
83b910fffffffff,4.0,4.0,0.0
83b911fffffffff,46.0,46.0,0.0
83b912fffffffff,2.0,2.0,0.0
83b913fffffffff,26.0,26.0,0.0
83b914fffffffff,83.0,82.0,0.0
83b915fffffffff,76.0,76.0,0.0
83b916fffffffff,218.0,218.0,0.0
83b933fffffffff,7.0,7.0,0.0
83b936fffffffff,3.0,2.0,1.0
83b959fffffffff,2.0,2.0,0.0
83b9a1fffffffff,21.0,21.0,0.0
83b9a4fffffffff,29.0,29.0,0.0
83b9a9fffffffff,2.0,2.0,0.0
83b9acfffffffff,50.0,50.0,0.0
83ba69fffffffff,187.0,0.0,187.0
83be08fffffffff,5192.0,0.0,5191.0
83be09fffffffff,71.0,0.0,71.0
83be0afffffffff,621.0,0.0,621.0
83be0bfffffffff,144.0,0.0,144.0
83be0cfffffffff,2119.0,0.0,2119.0
83be0dfffffffff,1347.0,0.0,1347.0
83be0efffffffff,671.0,0.0,671.0
83be18fffffffff,1015.0,0.0,1013.0
83be19fffffffff,263.0,0.0,263.0
83be1afffffffff,321.0,0.0,321.0
83be1bfffffffff,82.0,0.0,82.0
83be1dfffffffff,581.0,0.0,581.0
83be29fffffffff,181.0,0.0,180.0
83be2bfffffffff,8.0,0.0,8.0
83be40fffffffff,343.0,133.0,204.0
83be41fffffffff,6.0,2.0,4.0
83be42fffffffff,7.0,0.0,7.0
83be43fffffffff,4.0,0.0,4.0
83be44fffffffff,562.0,3.0,557.0
83be45fffffffff,321.0,21.0,294.0
83be46fffffffff,99.0,0.0,99.0
83be48fffffffff,62.0,55.0,7.0
83be49fffffffff,358.0,358.0,0.0
83be4afffffffff,96.0,72.0,24.0
83be4bfffffffff,20.0,20.0,0.0
83be4cfffffffff,182.0,56.0,124.0
83be4dfffffffff,102.0,101.0,0.0
83be4efffffffff,182.0,91.0,89.0
83be50fffffffff,23.0,0.0,23.0
83be51fffffffff,2.0,0.0,2.0
83be52fffffffff,5.0,0.0,5.0
83be53fffffffff,34.0,0.0,34.0
83be54fffffffff,36.0,0.0,36.0
83be55fffffffff,11.0,0.0,11.0
83be56fffffffff,79.0,0.0,79.0
83be5dfffffffff,2.0,0.0,2.0
83be60fffffffff,269.0,0.0,269.0
83be61fffffffff,353.0,0.0,353.0
83be62fffffffff,1119.0,0.0,1113.0
83be63fffffffff,3508.0,0.0,3506.0
83be66fffffffff,173.0,0.0,173.0
83be68fffffffff,123.0,0.0,123.0
83be69fffffffff,26.0,11.0,15.0
83be6afffffffff,124.0,0.0,122.0
83be6bfffffffff,135.0,95.0,32.0
83be6efffffffff,439.0,0.0,438.0
83be70fffffffff,46.0,0.0,46.0
83be71fffffffff,534.0,0.0,534.0
83be72fffffffff,2537.0,0.0,2536.0
83be73fffffffff,54.0,0.0,54.0
83be74fffffffff,1490.0,0.0,1490.0
83be75fffffffff,623.0,0.0,621.0
83be76fffffffff,232.0,0.0,231.0
83be88fffffffff,873.0,0.0,872.0
83be89fffffffff,441.0,0.0,441.0
83be8afffffffff,2.0,0.0,2.0
83be8bfffffffff,69.0,0.0,69.0
83be8dfffffffff,7689.0,0.0,7689.0
83bea9fffffffff,642.0,0.0,641.0
83beabfffffffff,998.0,0.0,998.0
83bec0fffffffff,3.0,0.0,3.0
83bec1fffffffff,1.0,0.0,1.0
83bec4fffffffff,7.0,0.0,7.0
83bec6fffffffff,4.0,0.0,4.0
83becefffffffff,2.0,0.0,2.0
83bed4fffffffff,27.0,0.0,27.0
83bed5fffffffff,6.0,0.0,6.0
83bedcfffffffff,4.0,0.0,4.0
83bedefffffffff,29.0,0.0,29.0
83bee0fffffffff,66.0,0.0,66.0
83bee2fffffffff,50.0,0.0,50.0
83bee3fffffffff,1.0,0.0,1.0
83bee4fffffffff,33.0,0.0,33.0
83bee5fffffffff,45.0,0.0,45.0
83bee6fffffffff,36.0,0.0,36.0
83beeafffffffff,2.0,0.0,2.0
83beecfffffffff,3.0,0.0,3.0
83bef0fffffffff,461.0,0.0,461.0
83bef2fffffffff,533.0,0.0,533.0
83bef3fffffffff,13.0,0.0,13.0
83bef4fffffffff,69.0,0.0,69.0
83bef5fffffffff,61.0,0.0,61.0
83bef6fffffffff,2113.0,0.0,2108.0
83bf48fffffffff,175.0,0.0,175.0
83bf49fffffffff,97.0,0.0,97.0
83bf4afffffffff,34.0,0.0,34.0
83bf4bfffffffff,776.0,0.0,775.0
83bf4cfffffffff,551.0,0.0,551.0
83bf4dfffffffff,199.0,0.0,199.0
83bf4efffffffff,105.0,0.0,105.0
83bf59fffffffff,14.0,0.0,14.0
83bf6bfffffffff,511.0,0.0,511.0
83bf8bfffffffff,201.0,0.0,201.0
83c980fffffffff,64.0,64.0,0.0
83c982fffffffff,472.0,472.0,0.0
83c983fffffffff,8.0,8.0,0.0
83c986fffffffff,369.0,369.0,0.0
83c990fffffffff,272.0,272.0,0.0
83c991fffffffff,117.0,117.0,0.0
83c992fffffffff,445.0,445.0,0.0
83c993fffffffff,245.0,245.0,0.0
83c994fffffffff,2.0,2.0,0.0
83c995fffffffff,44.0,44.0,0.0
83c996fffffffff,4.0,4.0,0.0
83c99cfffffffff,132.0,132.0,0.0
83c99efffffffff,44.0,44.0,0.0
83c9b0fffffffff,24.0,24.0,0.0
83c9b1fffffffff,209.0,209.0,0.0
83c9b2fffffffff,7.0,7.0,0.0
83c9b3fffffffff,203.0,203.0,0.0
83c9b6fffffffff,7.0,7.0,0.0
83d892fffffffff,46.0,0.0,46.0
83d896fffffffff,58.0,0.0,58.0
83d8b6fffffffff,12.0,0.0,12.0
