cell_id,Dicrurus modestus,Dicrurus modestus atactus,Dicrurus modestus modestus,Dicrurus modestus coracinus
835883fffffffff,10.0,0.0,0.0,0.0
835896fffffffff,18.0,18.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0,0.0
8358d2fffffffff,5.0,0.0,0.0,0.0
8358d3fffffffff,17.0,0.0,0.0,14.0
8358d8fffffffff,1.0,0.0,0.0,0.0
8358f4fffffffff,1.0,0.0,0.0,0.0
836a9efffffffff,14.0,0.0,0.0,0.0
836ac0fffffffff,44.0,0.0,0.0,0.0
836ac1fffffffff,104.0,0.0,0.0,0.0
836ac3fffffffff,4.0,0.0,0.0,0.0
836accfffffffff,1.0,0.0,0.0,0.0
836acdfffffffff,77.0,0.0,0.0,8.0
836acefffffffff,5.0,0.0,0.0,0.0
836adcfffffffff,35.0,0.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0,0.0
837508fffffffff,36.0,36.0,0.0,0.0
83750cfffffffff,4.0,4.0,0.0,0.0
83750dfffffffff,629.0,619.0,0.0,0.0
837518fffffffff,1.0,1.0,0.0,0.0
837519fffffffff,2.0,2.0,0.0,0.0
837520fffffffff,18.0,18.0,0.0,0.0
837523fffffffff,2.0,2.0,0.0,0.0
837529fffffffff,200.0,198.0,0.0,0.0
83752afffffffff,202.0,198.0,0.0,0.0
83752bfffffffff,91.0,91.0,0.0,0.0
83752dfffffffff,1.0,1.0,0.0,0.0
83752efffffffff,4.0,4.0,0.0,0.0
837576fffffffff,2.0,2.0,0.0,0.0
837584fffffffff,1.0,1.0,0.0,0.0
837586fffffffff,1.0,1.0,0.0,0.0
8375a0fffffffff,1.0,1.0,0.0,0.0
8375a8fffffffff,5.0,5.0,0.0,0.0
8375b0fffffffff,2.0,2.0,0.0,0.0
8375b4fffffffff,1.0,1.0,0.0,0.0
8375b6fffffffff,1.0,1.0,0.0,0.0
838212fffffffff,4.0,0.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0,0.0
838285fffffffff,9.0,0.0,0.0,0.0
83828bfffffffff,5.0,0.0,0.0,0.0
83828dfffffffff,60.0,0.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0,0.0
8382a3fffffffff,14.0,0.0,0.0,0.0
8382a5fffffffff,1.0,0.0,0.0,0.0
8382a8fffffffff,32.0,0.0,0.0,1.0
8382aafffffffff,3.0,0.0,0.0,0.0
8382abfffffffff,2.0,0.0,0.0,0.0
8382c0fffffffff,25.0,0.0,13.0,0.0
8382d1fffffffff,28.0,0.0,0.0,26.0
8382d2fffffffff,11.0,0.0,0.0,8.0
8382d3fffffffff,3.0,0.0,0.0,3.0
8382d4fffffffff,2.0,0.0,0.0,0.0
838311fffffffff,2.0,0.0,0.0,0.0
83831efffffffff,3.0,0.0,0.0,3.0
8383a8fffffffff,5.0,0.0,0.0,0.0
8383acfffffffff,14.0,0.0,0.0,4.0
8383adfffffffff,3.0,0.0,0.0,3.0
