cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
834508fffffffff,2.0,2.0,0.0
834521fffffffff,2.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834523fffffffff,2.0,1.0,0.0
834525fffffffff,12.0,0.0,0.0
83452afffffffff,2.0,0.0,0.0
83452cfffffffff,2.0,0.0,0.0
83452dfffffffff,6.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0
834564fffffffff,3.0,0.0,0.0
83660cfffffffff,13.0,0.0,0.0
836612fffffffff,4.0,0.0,0.0
836613fffffffff,2.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
836621fffffffff,11.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0
836641fffffffff,6.0,0.0,0.0
8366a0fffffffff,2.0,2.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366b0fffffffff,3.0,2.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
836741fffffffff,3.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d2cfffffffff,3.0,1.0,0.0
836d31fffffffff,4.0,0.0,0.0
836d65fffffffff,3.0,0.0,0.0
836d69fffffffff,26.0,17.0,0.0
836d6dfffffffff,4.0,0.0,0.0
83806afffffffff,3.0,0.0,0.0
838b36fffffffff,1.0,0.0,0.0
838b5cfffffffff,8.0,0.0,2.0
838b71fffffffff,18.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838f48fffffffff,5.0,0.0,2.0
838f6bfffffffff,2.0,0.0,0.0
83a81efffffffff,6.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
