cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
843c00dffffffff,3.0,3.0,0.0
843c02dffffffff,6.0,3.0,0.0
843c063ffffffff,1.0,0.0,0.0
843c0a9ffffffff,6.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0
843c1dbffffffff,2.0,0.0,0.0
843c527ffffffff,1.0,1.0,0.0
843c581ffffffff,3.0,0.0,0.0
843c5bdffffffff,1.0,0.0,0.0
843cc03ffffffff,1.0,0.0,0.0
843cd8bffffffff,1.0,0.0,1.0
843cdd5ffffffff,1.0,0.0,0.0
843ce85ffffffff,1.0,0.0,1.0
843d155ffffffff,3.0,0.0,0.0
843d157ffffffff,1.0,0.0,0.0
843d35dffffffff,2.0,0.0,0.0
844088bffffffff,1.0,0.0,0.0
844089dffffffff,3.0,0.0,0.0
8440c6dffffffff,2.0,0.0,2.0
8440e11ffffffff,1.0,0.0,1.0
8440e13ffffffff,1.0,0.0,1.0
8440ec5ffffffff,1.0,0.0,1.0
8440eedffffffff,3.0,0.0,3.0
8441b37ffffffff,1.0,0.0,0.0
