cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
829457fffffffff,2.0,0.0,0.0,2.0
82945ffffffffff,1.0,0.0,0.0,1.0
829487fffffffff,2.0,0.0,0.0,0.0
829c8ffffffffff,3.0,0.0,0.0,3.0
829ca7fffffffff,1.0,0.0,0.0,1.0
829caffffffffff,3.0,0.0,0.0,0.0
829cd7fffffffff,1.0,0.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0,0.0
82b8a7fffffffff,1.0,0.0,0.0,1.0
82be0ffffffffff,15.0,0.0,0.0,0.0
82be1ffffffffff,4.0,0.0,0.0,0.0
82be8ffffffffff,2.0,0.0,0.0,1.0
82bee7fffffffff,4.0,0.0,0.0,0.0
82bef7fffffffff,2.0,0.0,0.0,0.0
