cell_id,Tachyspiza badia,Tachyspiza badia sphenura/polyzonoides,Tachyspiza badia [badia Group]
822017fffffffff,8.0,0.0,8.0
82201ffffffffff,16.0,0.0,6.0
8220a7fffffffff,13.0,0.0,1.0
8220b7fffffffff,2.0,0.0,2.0
8220f7fffffffff,1.0,0.0,0.0
8225b7fffffffff,2.0,0.0,0.0
822c2ffffffffff,1.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822c5ffffffffff,1.0,0.0,0.0
822c8ffffffffff,2.0,0.0,2.0
822c97fffffffff,20.0,0.0,0.0
822cc7fffffffff,3.0,0.0,0.0
822ce7fffffffff,2.0,0.0,0.0
823c07fffffffff,6.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,15.0,0.0,0.0
823c5ffffffffff,14.0,0.0,1.0
823c87fffffffff,8.0,0.0,0.0
823c8ffffffffff,26.0,0.0,0.0
823c9ffffffffff,7.0,0.0,0.0
823cb7fffffffff,1.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0
823cd7fffffffff,2.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823cf7fffffffff,39.0,0.0,4.0
823d17fffffffff,4.0,0.0,0.0
823d37fffffffff,12.0,0.0,0.0
823d87fffffffff,10.0,0.0,8.0
823d8ffffffffff,12.0,0.0,0.0
823da7fffffffff,8.0,0.0,8.0
823daffffffffff,2.0,0.0,2.0
824177fffffffff,1.0,0.0,1.0
8242c7fffffffff,7.0,0.0,0.0
8242cffffffffff,7.0,0.0,0.0
8242e7fffffffff,2.0,0.0,2.0
82431ffffffffff,3.0,0.0,0.0
8243a7fffffffff,5.0,0.0,0.0
8243affffffffff,25.0,0.0,0.0
824b9ffffffffff,2.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0
825337fffffffff,2.0,0.0,0.0
825357fffffffff,2.0,0.0,1.0
82536ffffffffff,2.0,0.0,0.0
8254affffffffff,1.0,0.0,0.0
826007fffffffff,26.0,0.0,0.0
826017fffffffff,15.0,0.0,4.0
82601ffffffffff,2.0,0.0,0.0
826027fffffffff,31.0,0.0,0.0
826037fffffffff,10.0,0.0,0.0
82608ffffffffff,9.0,0.0,4.0
826097fffffffff,1.0,0.0,0.0
8260a7fffffffff,1.0,0.0,0.0
8260affffffffff,14.0,0.0,7.0
8260b7fffffffff,11.0,0.0,0.0
82618ffffffffff,24.0,0.0,0.0
82619ffffffffff,5.0,0.0,0.0
826337fffffffff,7.0,0.0,0.0
826417fffffffff,4.0,0.0,0.0
826437fffffffff,65.0,0.0,44.0
82648ffffffffff,1.0,0.0,0.0
82651ffffffffff,5.0,0.0,0.0
8265b7fffffffff,1.0,0.0,1.0
826ae7fffffffff,2.0,2.0,0.0
827a47fffffffff,4.0,2.0,0.0
827a4ffffffffff,3.0,0.0,0.0
827a6ffffffffff,16.0,6.0,0.0
827b4ffffffffff,2.0,0.0,0.0
8282d7fffffffff,2.0,2.0,0.0
829657fffffffff,1.0,1.0,0.0
82972ffffffffff,1.0,1.0,0.0
82bcdffffffffff,5.0,5.0,0.0
82bcf7fffffffff,2.0,0.0,0.0
