cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
820d4ffffffffff,10.0,0.0,0.0
820ecffffffffff,38.0,16.0,0.0
821207fffffffff,5.0,0.0,0.0
82121ffffffffff,351.0,64.0,0.0
821227fffffffff,5.0,0.0,0.0
82122ffffffffff,7.0,0.0,0.0
821237fffffffff,2.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,129.0,53.0,0.0
821257fffffffff,1163.0,326.0,0.0
82125ffffffffff,1106.0,95.0,0.0
82126ffffffffff,4.0,2.0,0.0
821277fffffffff,398.0,142.0,0.0
821287fffffffff,43.0,9.0,0.0
82128ffffffffff,449.0,5.0,0.0
8212affffffffff,389.0,86.0,0.0
8212b7fffffffff,13.0,1.0,0.0
8212c7fffffffff,2003.0,262.0,0.0
8212cffffffffff,12522.0,2084.0,0.0
8212d7fffffffff,5617.0,925.0,0.0
8212dffffffffff,7345.0,1333.0,0.0
8212e7fffffffff,942.0,148.0,0.0
8212effffffffff,7592.0,1507.0,0.0
8212f7fffffffff,399.0,32.0,0.0
821357fffffffff,8.0,0.0,0.0
821387fffffffff,74.0,0.0,0.0
82138ffffffffff,11.0,0.0,0.0
82139ffffffffff,5.0,0.0,0.0
8213a7fffffffff,10.0,0.0,0.0
8213b7fffffffff,9.0,0.0,0.0
821d27fffffffff,12.0,0.0,0.0
822607fffffffff,2099.0,367.0,0.0
82260ffffffffff,3425.0,683.0,0.0
822617fffffffff,709.0,123.0,0.0
82261ffffffffff,784.0,90.0,0.0
822627fffffffff,3505.0,511.0,0.0
82262ffffffffff,7267.0,1302.0,0.0
822637fffffffff,2718.0,697.0,0.0
822647fffffffff,7030.0,2838.0,0.0
82264ffffffffff,6348.0,823.0,0.0
822657fffffffff,10445.0,5440.0,0.0
82265ffffffffff,4029.0,1474.0,0.0
822667fffffffff,15350.0,5608.0,0.0
82266ffffffffff,6176.0,2207.0,0.0
822677fffffffff,2829.0,922.0,0.0
822687fffffffff,13425.0,3312.0,0.0
82268ffffffffff,33830.0,6961.0,0.0
822697fffffffff,18220.0,7986.0,0.0
82269ffffffffff,9931.0,1516.0,0.0
8226a7fffffffff,472.0,93.0,0.0
8226affffffffff,9585.0,3158.0,0.0
8226b7fffffffff,1697.0,241.0,0.0
8226c7fffffffff,3787.0,1187.0,0.0
8226cffffffffff,13611.0,5421.0,0.0
8226d7fffffffff,1990.0,692.0,0.0
8226dffffffffff,4697.0,1891.0,0.0
8226e7fffffffff,9378.0,2734.0,0.0
8226effffffffff,1702.0,411.0,0.0
8226f7fffffffff,3434.0,1091.0,0.0
822707fffffffff,2396.0,373.0,0.0
82270ffffffffff,282.0,61.0,0.0
822717fffffffff,2448.0,598.0,0.0
82271ffffffffff,2293.0,462.0,0.0
82272ffffffffff,2.0,0.0,0.0
822747fffffffff,1551.0,399.0,0.0
82274ffffffffff,7565.0,517.0,0.0
822757fffffffff,2854.0,657.0,0.0
82275ffffffffff,19531.0,6253.0,0.0
822767fffffffff,144.0,16.0,0.0
82276ffffffffff,582.0,10.0,0.0
822777fffffffff,154.0,5.0,0.0
822787fffffffff,1045.0,281.0,0.0
82278ffffffffff,658.0,211.0,0.0
822797fffffffff,3790.0,1254.0,0.0
82279ffffffffff,1316.0,409.0,0.0
8227a7fffffffff,1894.0,524.0,0.0
8227affffffffff,2437.0,668.0,0.0
8227b7fffffffff,1070.0,315.0,0.0
822807fffffffff,7487.0,3445.0,0.0
822817fffffffff,11425.0,3264.0,0.0
82281ffffffffff,7773.0,2324.0,0.0
822837fffffffff,114452.0,34434.0,0.0
