cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
834880fffffffff,3.0,0.0,0.0
834882fffffffff,1.0,1.0,0.0
834883fffffffff,13.0,0.0,0.0
834886fffffffff,1.0,0.0,0.0
83488efffffffff,9.0,0.0,0.0
834891fffffffff,32.0,3.0,0.0
834895fffffffff,25.0,3.0,0.0
834898fffffffff,1.0,0.0,0.0
83489cfffffffff,108.0,0.0,0.0
83489dfffffffff,19.0,0.0,0.0
83489efffffffff,6.0,0.0,0.0
8348a2fffffffff,7.0,3.0,0.0
8348b1fffffffff,29.0,4.0,0.0
8348b2fffffffff,16.0,0.0,0.0
8348b3fffffffff,1182.0,22.0,0.0
834982fffffffff,2.0,0.0,0.0
834990fffffffff,2.0,2.0,0.0
834991fffffffff,1.0,1.0,0.0
834994fffffffff,4.0,0.0,0.0
834995fffffffff,30.0,0.0,0.0
834996fffffffff,15.0,4.0,0.0
834998fffffffff,17.0,17.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499cfffffffff,2.0,2.0,0.0
8349a2fffffffff,3.0,0.0,0.0
8349aafffffffff,1.0,0.0,1.0
8349b1fffffffff,8.0,0.0,4.0
8349b5fffffffff,2.0,0.0,0.0
836d30fffffffff,22.0,0.0,0.0
836d31fffffffff,7.0,0.0,1.0
836d32fffffffff,6.0,0.0,2.0
836d33fffffffff,1.0,0.0,1.0
