cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
832600fffffffff,3.0,0.0,0.0
832601fffffffff,17.0,0.0,0.0
832602fffffffff,9.0,0.0,0.0
832603fffffffff,8.0,0.0,0.0
832606fffffffff,6.0,0.0,0.0
832608fffffffff,8.0,0.0,0.0
832609fffffffff,5.0,0.0,0.0
83260afffffffff,254.0,0.0,0.0
83260bfffffffff,587.0,0.0,0.0
83260cfffffffff,53.0,0.0,0.0
83260dfffffffff,23.0,0.0,0.0
83260efffffffff,17.0,0.0,0.0
832611fffffffff,23.0,0.0,0.0
832612fffffffff,19.0,0.0,0.0
832613fffffffff,7.0,0.0,0.0
832614fffffffff,4.0,0.0,0.0
832618fffffffff,150.0,0.0,5.0
832619fffffffff,87.0,0.0,1.0
83261afffffffff,51.0,0.0,0.0
83261bfffffffff,59.0,0.0,0.0
83261cfffffffff,15.0,0.0,1.0
83261dfffffffff,79.0,0.0,0.0
83261efffffffff,14.0,0.0,0.0
832622fffffffff,4.0,0.0,0.0
832623fffffffff,10.0,0.0,0.0
83262afffffffff,47.0,0.0,0.0
83262bfffffffff,11.0,0.0,0.0
83262efffffffff,3.0,0.0,0.0
832633fffffffff,8.0,0.0,0.0
832650fffffffff,67.0,0.0,0.0
832652fffffffff,248.0,0.0,0.0
832653fffffffff,514.0,0.0,0.0
832654fffffffff,5.0,0.0,0.0
832656fffffffff,311.0,0.0,0.0
83265bfffffffff,12.0,0.0,0.0
83265efffffffff,22.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832676fffffffff,4.0,0.0,0.0
832680fffffffff,6.0,0.0,0.0
832681fffffffff,816.0,0.0,0.0
832682fffffffff,2.0,0.0,0.0
832683fffffffff,2.0,0.0,0.0
832684fffffffff,8.0,0.0,0.0
832685fffffffff,222.0,0.0,0.0
832688fffffffff,2513.0,0.0,0.0
832689fffffffff,283.0,0.0,0.0
83268afffffffff,414.0,0.0,0.0
83268bfffffffff,115.0,0.0,0.0
83268cfffffffff,1427.0,0.0,0.0
83268dfffffffff,994.0,0.0,0.0
83268efffffffff,153.0,0.0,0.0
832690fffffffff,346.0,0.0,0.0
832692fffffffff,250.0,0.0,0.0
832693fffffffff,14.0,0.0,0.0
832694fffffffff,7.0,0.0,0.0
832695fffffffff,6.0,0.0,0.0
832696fffffffff,2822.0,0.0,0.0
832698fffffffff,58.0,0.0,0.0
832699fffffffff,67.0,0.0,0.0
83269afffffffff,32.0,0.0,0.0
83269bfffffffff,29.0,0.0,0.0
83269cfffffffff,406.0,0.0,0.0
83269dfffffffff,29.0,0.0,0.0
83269efffffffff,21.0,0.0,0.0
8326a1fffffffff,21.0,0.0,0.0
8326a2fffffffff,14.0,0.0,0.0
8326a8fffffffff,690.0,0.0,1.0
8326a9fffffffff,219.0,0.0,0.0
8326aafffffffff,3249.0,0.0,0.0
8326abfffffffff,907.0,0.0,0.0
8326acfffffffff,83.0,0.0,0.0
8326adfffffffff,113.0,0.0,0.0
8326aefffffffff,316.0,0.0,0.0
8326b3fffffffff,4.0,0.0,0.0
8326c0fffffffff,81.0,0.0,0.0
